linkedin_row_id,company_as_listed,role_as_listed,date_applied,package_dedupe_status,match_status,parent_id,parent_role,notes
LI-012,SWARM,Sales Engineer,2025-07-09 17:32,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-013,proteanTecs,Sales Development Representative,2025-08-04 04:26,duplicate_gmail_receipt,overlap,proteantecs|sdr|c1,SDR,"Receipt 2025-08-08 (SDR), rejection re-confirmed log 019. Four days after the LinkedIn stamp; adjudicate if a same-day receipt is required."
LI-014,Insignia Assets,Head of Digital,2025-11-18 01:44,net_new,candidate_net_new,,,"ADJUDICATED log 039. No employer artifact exists. The only Gmail item is Keegan's own SENT mail 2025-11-18 09:53 UTC to eml_16011a3a61e9, subject 'Operator / architect / Atlanta resident', resume attached, no role named, no reply. That is outbound cold outreach, not a receipt, so evidence_class stays platform_log. Open coding note, non-blocking: whether 'Insignia Assets' (LinkedIn, Head of Digital, req 4323010631) and insigniacollab.com are one entity. If yes, the email is a followup_sent event on this row; if no, it is a separate opportunity-register row. Not resolvable from the corpus."
LI-015,Pickering Interfaces,Field Sales Engineer - Southeast,2026-01-20 02:21,net_new,overlap,pickering-interfaces|field-sales-engineer-southeast|c1,Field Sales Engineer - Southeast,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-016,DevSignal,Growth Specialist,2026-01-26 09:39,net_new,overlap,devsignal|growth-specialist|c1,Growth Specialist,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-017,Verkada,"Enterprise Solutions Engineer, Greater Atlanta Area",2026-02-04 02:53,duplicate_gmail_receipt,overlap,verkada|enterprise-solutions-engineer-atlanta|c1,"Enterprise Solutions Engineer, Atlanta","Receipt 2026-02-04, Enterprise Solutions Engineer Atlanta, same day."
LI-018,Flexbone,Founding GTM Account Executive,2026-02-08 19:02,net_new,overlap,flexbone|founding-gtm-account-executive|c1,Founding GTM Account Executive,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-019,Databar.ai,GTM Engineer (Growth & Sales),2026-02-10 15:27,net_new,overlap,databar-ai|gtm-engineer-growth-sales|c1,GTM Engineer (Growth & Sales),No company match in the Gmail/Calendar corpus (logs 001-034).
LI-020,MICHELIN Connected Fleet,Demand Generation and Growth Marketing Manager,2026-02-10 15:29,net_new,overlap,michelin-connected-fleet|demand-generation-and-growth-marketing-manager|c1,Demand Generation and Growth Marketing Manager,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-021,Pegasystems,GTM GenAI Product Owner,2026-02-10 15:30,net_new,overlap,pegasystems|gtm-genai-product-owner|c1,GTM GenAI Product Owner,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-022,Propel,Founding Sales Engineer,2026-03-05 12:54,net_new,overlap,propel|founding-sales-engineer|c1,Founding Sales Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-023,Scout Global,Founding Sales Engineer,2026-03-05 12:54,net_new,overlap,scout-global|founding-sales-engineer|c1,Founding Sales Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-024,Casper Studios,GTM Engineer,2026-03-23 18:33,net_new,overlap,casper-studios|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-025,DISQO,GTM Engineer,2026-03-27 09:28,duplicate_gmail_receipt,overlap,disqo|gtm-engineer|c1,GTM Engineer,Lever receipt/decline 2026-03-31.
LI-026,PandaDoc,GTM Engineer,2026-03-30 06:48,duplicate_gmail_receipt,overlap,pandadoc|gtm-engineer|c1,GTM Engineer,"Greenhouse security code and receipt 2026-03-30, same day; rejection 2026-04-27."
LI-027,NetRise,Go To Market (GTM) Engineer / Outbound Pipeline Development,2026-03-31 03:30,net_new,overlap,netrise|go-to-market-gtm-engineer-outbound-pipeline-development|c1,Go To Market (GTM) Engineer / Outbound Pipeline Development,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-028,Fractional Demand,GTM Engineer,2026-03-31 15:19,net_new,overlap,fractional-demand|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-029,Crossing Hurdles,GTM Lead,2026-04-01 03:44,duplicate_gmail_receipt,overlap,crossing-hurdles|gtm-lead|c1,GTM Lead,Ceipal artifact 2026-04-01 presenting Montauk Capital Head of Commercial. Intermediary: underlying_employer = Montauk Capital.
LI-030,QuadSci,Marketing GTM Engineer,2026-04-06 06:30,net_new,overlap,quadsci-ai|marketing-gtm-engineer|c1,Marketing GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-031,Recur Software,GTM Engineer,2026-04-06 06:33,net_new,overlap,recur-software|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-032,AppGate,GTM Engineer,2026-04-06 06:42,duplicate_gmail_receipt,overlap,appgate|gtm-engineer|c1,GTM Engineer,"Workable receipt plus application data copy plus EEO survey, 2026-04-06, same day."
LI-033,Bask Health,Sales Engineer,2026-04-06 08:51,net_new_employer_artifact_exists,overlap,bask-health|sales-engineer|c1,Sales Engineer,Gmail holds Sales Engineer outreach with Calendly links 2026-04-08 and NO submission receipt. The LinkedIn row is the only submission record. Not a duplicate; upgrade evidence_class to employer_artifact.
LI-034,COLOSSUS TECHNOLOGY GROUP,GTM Engineer,2026-04-06 08:51,net_new,opportunity_or_non_census,,,"CONFIRMED net_new. Colossus is a recruiting firm, not an employer. The subject confirms this 2026-04-06 application is for a DIFFERENT Colossus client than the Opsin process of March 2026, so there is no double count with that opportunity-register row. underlying_employer = unknown — joins Talentpluto and Jobgether under stop condition 7."
LI-035,2X,GTM Engineer,2026-04-06 08:52,net_new,overlap,2x|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-036,BX Studio,GTM Engineer,2026-04-06 09:00,net_new_employer_artifact_exists,opportunity_or_non_census,,,"Gmail holds a 2026-04-08 thread with video sent and forwarded to the hiring manager, no submission receipt. LinkedIn row is the only submission record; upgrade evidence_class."
LI-037,RevPilots,GTM Engineer,2026-04-09 16:40,net_new,overlap,revpilots|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-038,Verdent AI,Growth Marketing,2026-04-10 02:30,net_new,overlap,verdent-ai|growth-marketing|c1,Growth Marketing,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-039,Auctane,Pre-Sales Engineer - Atlanta,2026-04-10 02:50,duplicate_gmail_receipt,overlap,auctane|pre-sales-engineer|c1,Pre-Sales Engineer,Receipt 2026-04-10 same day; Pre-Sales Engineer decline 2026-05-14.
LI-040,CRMIT Solutions,Ai Solutions Sales Specialist,2026-04-10 02:51,net_new,overlap,crmit-solutions|ai-solutions-sales-specialist|c1,AI Solutions Sales Specialist,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-041,Crash Override,Growth Engineer,2026-04-16 22:13,net_new,overlap,crash-override|growth-engineer|c1,Growth Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-042,Wall Street Quants,Marketing / GTM Engineer,2026-04-16 22:14,duplicate_gmail_receipt,overlap,wallstreetquants|unspecified|c1,unspecified,"Receipt plus application data copy 2026-04-17, one day after the LinkedIn stamp."
LI-043,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-04-19 04:42,net_new,overlap,durham-geo-slope-indicator-dgsi|technical-sales-engineer|c1,Technical Sales Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-044,Freshtix,Business Development Manager,2026-05-19 19:29,net_new,overlap,freshtix|business-development-manager|c1,Business Development Manager,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-045,AICRO,GTM Engineer,2026-05-25 17:33,distinct_cycle_net_new,overlap,aicro|gtm-engineer|c1,GTM Engineer,"Log 020 records a direct emailed application 2026-02-06. This LinkedIn row is 2026-05-25 via a different channel. Different cycle, so a net addition, not a duplicate. Set cycle = 2 if the codebook cycle rule is satisfied."
LI-046,SoTalent,Generative AI Agent Engineer (Remote),2026-05-26 08:34,net_new,overlap,solant|generative-ai-agent-engineer-remote|c1,Generative AI Agent Engineer (Remote),No company match in the Gmail/Calendar corpus (logs 001-034).
LI-047,Piper AI,Growth & Content,2026-05-26 08:34,net_new,overlap,piper-ai|growth-content|c1,Growth & Content,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-048,Jobright.ai,"Product Manager, Entry Level",2026-05-26 08:35,distinct_cycle_net_new,overlap,jobright-ai|product-manager-early-career|c1,Product Manager (Early Career),"ADJUDICATED log 039. Cycle 2. The Gmail artifact (noreply@jobright.ai, 2026-03-31 17:05) is a REJECTION for Product Manager (Early Career), two months BEFORE this 2026-05-26 submission. It cannot be the same event. Cycle 1 carried a terminal outcome before cycle 2 was submitted, which is exactly what the codebook cycle rule requires. Set cycle = 2. Coding note: role_as_listed differs verbatim, 'Early Career' vs 'Entry Level'; role_slug must normalize them or this becomes two c1 rows instead of c1/c2."
LI-049,Valoh,Fractional GTM Operations Lead,2026-06-03 21:57,net_new,overlap,valoh|fractional-gtm-operations-lead|c1,Fractional GTM Operations Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-050,Kognitos,Senior Solutions Engineer,2026-06-03 21:59,net_new,overlap,kognitos|senior-solutions-engineer|c1,Senior Solutions Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-051,MAJC✨,Revenue Operations & Business Development,2026-06-04 02:53,net_new,overlap,majc|revenue-operations-business-development|c1,Revenue Operations & Business Development,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-052,Adaptive6,Sales Engineer,2026-06-04 02:54,duplicate_gmail_receipt,overlap,adaptive6|sales-engineer|c1,Sales Engineer,Receipt 2026-06-04 same day; decline 2026-06-16.
LI-053,IntelliPro,Founding Sales - AI Generic,2026-06-04 02:54,net_new,overlap,intellipro|founding-sales-ai-generic|c1,Founding Sales - AI Generic,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-054,The Hog (YC F25),Founding GTM Engineer,2026-06-04 02:57,net_new_employer_artifact_exists,opportunity_or_non_census,,,"Gmail holds interview invitation 2026-06-15, interview 06-16, take-home 06-18, credits 06-20, and no submission receipt. LinkedIn row is the only submission record; upgrade evidence_class. This is one of the 11 in-census interviews."
LI-055,Huzzle.com,GTM Engineer,2026-06-04 03:00,duplicate_gmail_receipt,overlap,huzzle|gtm-engineer|c1,GTM Engineer,"Workable receipt plus data copy 2026-06-04 same day, plus required AI video interview."
LI-056,Lyra Health,Senior GTM Enablement Specialist,2026-06-04 03:00,net_new,overlap,lyra-health|senior-gtm-enablement-specialist|c1,Senior GTM Enablement Specialist,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-057,Vi,Sr. Forward Deployed Engineer,2026-06-04 03:01,net_new,overlap,vi|sr-forward-deployed-engineer|c1,Sr. Forward Deployed Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-058,Jobright.ai,AI Engineer,2026-06-04 03:02,net_new,overlap,jobright-ai|ai-engineer|c1,AI Engineer,"ADJUDICATED log 039. AI Engineer, a different role from LI-048. No Gmail artifact of any kind. Net addition."
LI-059,Scout Global,Forward Deployed Engineer,2026-06-04 03:02,net_new,overlap,scout-global|forward-deployed-engineer|c1,Forward Deployed Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-060,Evolution USA,Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote),2026-06-04 03:03,net_new,company_present_role_differs,evolution-usa|forward-deployed-engineer-fda-applied-ai-genai|c1,Forward Deployed Engineer (FDA Applied AI / GenAI),No company match in the Gmail/Calendar corpus (logs 001-034).
LI-061,GridBank,GTM Engineer,2026-06-04 04:01,net_new,overlap,gridbank|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-062,SOLAYA,GTM Engineer,2026-06-07 22:19,net_new,overlap,solaya|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-063,Greenway Collins,GTM Engineer | Remote (US),2026-06-08 17:44,net_new,overlap,greenway-collins|gtm-engineer-remote-us|c1,GTM Engineer | Remote (US),No company match in the Gmail/Calendar corpus (logs 001-034).
LI-064,RTScale AI,Founding Growth Lead,2026-06-17 10:35,net_new,overlap,rtscale-ai|founding-growth-lead|c1,Founding Growth Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-065,The Vincit Group,Systems Engineering and Sales,2026-06-21 01:02,net_new,overlap,the-vincit-group|systems-engineering-and-sales|c1,Systems Engineering and Sales,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-066,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-06-21 01:02,net_new,overlap,durham-geo-slope-indicator-dgsi|technical-sales-engineer|c1,Technical Sales Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-067,TrueBuilt,GTM Engineer,2026-06-21 05:43,net_new,overlap,truebuilt|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-068,DripShop,Growth Lead - User Acquisition,2026-06-21 19:39,net_new,overlap,dripshop|growth-lead-user-acquisition|c1,Growth Lead - User Acquisition,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-069,Ritz Instrument Transformers USA,Sales Engineer,2026-06-22 04:09,net_new,overlap,ritz-instrument-transformers-usa|sales-engineer|c1,Sales Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-070,Hartfiel Automation,Sales Engineer,2026-06-22 04:10,net_new,overlap,hartfiel-automation|sales-engineer|c1,Sales Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-071,Franklin Fitch,AI Training and Adoption Consultant,2026-06-22 04:10,net_new,overlap,franklin-fitch|ai-training-and-adoption-consultant|c1,AI Training and Adoption Consultant,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-072,HorizonAI Talent,Forward Deployed Engineer,2026-06-22 07:25,net_new,overlap,horizonai-talent|forward-deployed-engineer|c1,Forward Deployed Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-073,Armada,"AI Factory, Value Engineer",2026-06-22 07:26,duplicate_gmail_receipt,overlap,armada|ai-factory-value-engineer|c1,"AI Factory, Value Engineer","Receipt 2026-06-22 same day, AI Factory Value Engineer."
LI-074,Attentive,GTM Engineer,2026-06-22 07:28,duplicate_gmail_receipt,overlap,attentive|gtm-engineer|c2,GTM Engineer,Receipt 2026-06-22 same day; decline 2026-07-07; a second cycle receipt 2026-07-15 exists in Gmail and is NOT represented in the LinkedIn export.
LI-075,Jobgether,GTM Engineer,2026-06-22 08:10,duplicate_gmail_receipt,overlap,jobgether|gtm-engineer|c1,GTM Engineer,"Receipt 2026-06-22 same day; match-score follow-up 06-23. Intermediary: underlying_employer unresolved, open thread."
LI-076,Roc Search,Founding GTM Strategy,2026-06-22 12:10,net_new,overlap,roc-search|founding-gtm-strategy|c1,Founding GTM Strategy,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-077,Melavex,Founding GTM Lead,2026-06-24 11:38,net_new,overlap,melavex|founding-gtm-lead|c1,Founding GTM Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-078,Robert Half,Go-To-Market Lead,2026-06-24 15:33,net_new,overlap,robert-half|go-to-market-lead|c1,Go-To-Market Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-079,Hippocratic AI,Deployment Strategist,2026-06-24 15:42,net_new,overlap,hippocratic-ai|deployment-strategist|c1,Deployment Strategist,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-080,Hermetic AI,"Sales Development Representative - Atlanta, GA",2026-06-25 04:19,net_new,overlap,hermetic-ai|sales-development-representative-atlanta-ga|c1,"Sales Development Representative - Atlanta, GA",No company match in the Gmail/Calendar corpus (logs 001-034).
LI-081,TechLinkSphere,Micro-SaaS Launch & Growth Engineer,2026-07-06 12:28,net_new,overlap,techlinksphere|micro-saas-launch-growth-engineer|c1,Micro-SaaS Launch & Growth Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-082,Inworld AI,GTM Lead,2026-07-06 14:12,net_new,overlap,inworld-ai|gtm-lead|c1,GTM Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-083,Company.ai,GTM Sales Lead,2026-07-06 14:12,net_new,overlap,company-ai|gtm-sales-lead|c1,GTM Sales Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-084,Duckbill,Founding Sales / GTM,2026-07-07 17:01,net_new,overlap,duckbill|founding-sales-gtm|c1,Founding Sales / GTM,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-085,Entelligence.AI,Founding GTM,2026-07-12 13:39,net_new,overlap,entelligence-ai|founding-gtm|c1,Founding GTM,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-086,Nudge AI,Growth Lead,2026-07-12 13:45,net_new,overlap,nudge-ai|growth-lead|c1,Growth Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-087,Human Delta,Founding GTM Engineer,2026-07-12 13:45,net_new,overlap,human-delta|founding-gtm-engineer|c1,Founding GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-088,The Biological Computing Co. (TBC),Lead Sales and Product Engineer,2026-07-12 13:53,net_new,overlap,the-biological-computing-co-tbc|lead-sales-and-product-engineer|c1,Lead Sales and Product Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-089,talentpluto,Go-to-Market Engineer,2026-07-12 15:10,duplicate_gmail_receipt,overlap,talentpluto|go-to-market-engineer|c1,Go-to-Market Engineer,"Workable receipt plus application data copy 2026-07-12 same day. Intermediary: underlying employer unresolved, open thread."
LI-090,Sidepocket,Go-To-Market Growth Engineer,2026-07-12 15:11,net_new,overlap,sidepocket|go-to-market-growth-engineer|c1,Go-To-Market Growth Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-091,Logicbroker,AI GTM Engineer,2026-07-12 15:12,net_new,overlap,logicbroker|ai-gtm-engineer|c1,AI GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-092,"Method Recruiting, a 3x Inc. 5000 company",Founding GTM Engineer,2026-07-12 15:12,net_new,overlap,method-recruiting-a-3x-inc-5000-company|founding-gtm-engineer|c1,Founding GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-093,Taste Labs,Growth Lead,2026-07-12 15:13,net_new,overlap,taste-labs|growth-lead|c1,Growth Lead,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-094,talentpluto,GTM Engineer,2026-07-12 15:14,duplicate_gmail_receipt,overlap,talentpluto|go-to-market-engineer|c1,Go-to-Market Engineer,"Second Workable receipt plus data copy 2026-07-12 same day. Two distinct submissions, both matched."
LI-095,Light Labs,"GTM Engineer, Agents",2026-07-12 15:14,net_new,overlap,light-labs|gtm-engineer-agents|c1,"GTM Engineer, Agents",No company match in the Gmail/Calendar corpus (logs 001-034).
LI-096,Stealth Startup,GTM Leader / Head of Growth [33260],2026-07-12 15:17,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-097,HartleyCo,GTM Engineer,2026-07-12 15:19,duplicate_of_ledger_row,overlap,hartleyco|founding-gtm|c1,Founding GTM,"ADJUDICATED log 039. NOT a net addition. eml_0a253147bb65 wrote 2026-07-13 04:39, 'Thanks for applying for the GTM Engineer position I'm working on for a client in SF' - this row IS that application. Screen booked and held the same day, recap 07-14 naming a YC-backed AI infrastructure startup, decline 2026-07-23 subject 'Update on the Founding GTM Role at Bluejay'. The reconciled ledger already counts this as one of the 11 interviews ('confidential client via HartleyCo'), so adding it would double count. It instead SUPPLIES that row's missing submission evidence and exact date. underlying_employer = Bluejay. terminal_outcome = rejected_after_interview, 2026-07-23, exact. Upgrade evidence_class to employer_artifact."
LI-098,Kana,GTM Engineer,2026-07-12 15:20,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-099,Coverwatch,Founding GTM,2026-07-12 15:20,net_new,overlap,coverwatch|founding-gtm|c1,Founding GTM,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-100,Massive,GTM,2026-07-12 15:21,net_new,overlap,massive|gtm|c1,GTM,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-101,Baton AI,Founding GTM,2026-07-12 19:51,net_new,overlap,baton-ai|founding-gtm|c1,Founding GTM,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-102,Elios AI,Senior Forward Deployed Engineer,2026-07-18 06:31,net_new,overlap,elios|senior-forward-deployed-engineer|c1,Senior Forward Deployed Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-103,Ailytics,Revenue Operations (RevOps) Specialist,2026-07-22 09:19,net_new,overlap,ailytics|revenue-operations-revops-specialist|c1,Revenue Operations (RevOps) Specialist,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-104,Fractional Demand,GTM Engineer,2026-07-26 06:40,net_new,overlap,fractional-demand|gtm-engineer|c1,GTM Engineer,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-105,Doomers AI,Founding GTM,2026-07-26 07:35,net_new,overlap,doomers-ai|founding-gtm|c1,Founding GTM,No company match in the Gmail/Calendar corpus (logs 001-034).
