side,workbook_key,workbook_company,workbook_role,workbook_date,workbook_status,workbook_category,workbook_title_resolution,application_id,repository_role,repository_register,repository_evidence_tier,repository_terminal_outcome,in_census_223,match_tier,candidate_application_ids,disposition,disposition_reason
both,AirOps + Growth Engineer + 2026-04-10,AirOps,Growth Engineer,2026-04-10,GHOSTED,Direct application / ATS,Exact title present in source evidence,airops|growth-engineer|c1,Growth Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,AirOps → thecannonproject + GTM Engineer + 2025-07-24,AirOps → thecannonproject,GTM Engineer,2025-07-24,GHOSTED,Community origins,Exact title present in source evidence,airops|growth-engineer|c1,Growth Engineer,application,A,still_open,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,Airtable + GTM Engineer + 2026-05-21,Airtable,GTM Engineer,2026-05-21,REJECTED,Direct application / ATS,Exact title present in source evidence,airtable|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Ambrook + Business Operations Lead + 2026-02-11,Ambrook,Business Operations Lead,2026-02-11,REJECTED,Direct application / ATS,Exact title present in source evidence,ambrook|business-operations-lead|c1,Business Operations Lead,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Ambrook + Partnerships Lead + 2025-08-06,Ambrook,Partnerships Lead,2025-08-06,GHOSTED,Direct application / ATS,Exact title present in source evidence,ambrook|partnerships-lead|c1,Partnerships Lead,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Anaconda + Senior Business Development Representative + 2025-07-27,Anaconda,Senior Business Development Representative,2025-07-27,GHOSTED,Jobright.ai application,Exact title present in source evidence,anaconda|senior-bdr|c1,Senior BDR,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Anduril + Technical Operations Engineer, Launched Effects + 2026-06-21",Anduril,"Technical Operations Engineer, Launched Effects",2026-06-21,REJECTED,Direct application / ATS,Exact title present in source evidence,anduril-industries|technical-operations-engineer-launched-effects|c1,"Technical Operations Engineer, Launched Effects",application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Anthropic + Software Engineer, Business Technology + 2026-03-08",Anthropic,"Software Engineer, Business Technology",2026-03-08,REJECTED,Direct application / ATS,Exact title present in source evidence,anthropic|software-engineer-business-technology|c1,"Software Engineer, Business Technology",application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,ApartmentIQ + GTM Engineer + 2026-05-21,ApartmentIQ,GTM Engineer,2026-05-21,GHOSTED,Direct application / ATS,Resolved from Gmail evidence (was UNKNOWN),apartmentiq|unspecified|c1,unspecified,application,A,rejected_no_interview,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer` from evidence not in this corpus (Resolved from Gmail evidence (was UNKNOWN)). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,Apollo.io + GTM Engineer (level/book unresolved) + 2026-05-28,Apollo.io,GTM Engineer (level/book unresolved),2026-05-28,GHOSTED,Direct application / ATS,Functional title resolved; Mid-Market versus SMB level/book remains uncertain,apollo-io|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer (level/book unresolved)` from evidence not in this corpus (Functional title resolved; Mid-Market versus SMB level/book remains uncertain). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,AppGate + GTM Engineer + 2026-04-06,AppGate,GTM Engineer,2026-04-06,GHOSTED,LinkedIn application,Exact title present in source evidence,appgate|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Applause + Enterprise SDR + 2025-07-07,Applause,Enterprise SDR,2025-07-07,REJECTED,LinkedIn application,Exact title present in source evidence,applause|enterprise-sdr|c1,Enterprise SDR,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Applied Systems + Sales Enablement GTM Readiness Lead + 2026-05-20,Applied Systems,Sales Enablement GTM Readiness Lead,2026-05-20,GHOSTED,Jobright.ai application,Exact title present in source evidence,applied-systems|sales-enablement-gtm-readiness-lead|c1,Sales Enablement GTM Readiness Lead,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Armada + AI Factory, Value Engineer + 2026-06-22",Armada,"AI Factory, Value Engineer",2026-06-22,GHOSTED,LinkedIn application,Exact title present in source evidence,armada|ai-factory-value-engineer|c1,"AI Factory, Value Engineer",application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Auctane + Pre-Sales Engineer - Atlanta + 2026-04-10,Auctane,Pre-Sales Engineer - Atlanta,2026-04-10,REJECTED,LinkedIn application,Exact title present in source evidence,auctane|pre-sales-engineer|c1,Pre-Sales Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Autodesk + Sr. Sales Specialist, Fusion Enterprise + 2026-01-02",Autodesk,"Sr. Sales Specialist, Fusion Enterprise",2026-01-02,GHOSTED,Jobright.ai application,Exact title present in source evidence,autodesk|sr-sales-specialist-fusion-enterprise|c1,"Sr. Sales Specialist, Fusion Enterprise",application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Automation Anywhere + Sales Engineer + 2026-06-24,Automation Anywhere,Sales Engineer,2026-06-24,GHOSTED,Jobright.ai application,Exact title present in source evidence,automation-anywhere|sales-engineer|c1,Sales Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Axiad + GTM Engineer + 2026-07-15,Axiad,GTM Engineer,2026-07-15,GHOSTED,Direct application / ATS,Resolved from same-period job evidence; original ATS receipt omitted the title,axiad|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer` from evidence not in this corpus (Resolved from same-period job evidence; original ATS receipt omitted the title). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,Axon + Key Account Executive + 2026-01-02,Axon,Key Account Executive,2026-01-02,GHOSTED,Jobright.ai application,Exact title present in source evidence,axon|key-account-executive|c1,Key Account Executive,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Axon + Manager, Go-to-Market Readiness + 2025-08-04",Axon,"Manager, Go-to-Market Readiness",2025-08-04,GHOSTED,Direct application / ATS,Exact title present in source evidence,axon|manager-go-to-market-readiness|c1,"Manager, Go-to-Market Readiness",application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,BX Studio + GTM Engineer + 2026-04-06,BX Studio,GTM Engineer,2026-04-06,GHOSTED,LinkedIn application,Exact title present in source evidence,bx-studio|unspecified|c1,GTM Engineer,application,B,still_open,yes,exact_company_role_date,,adopted_freeze31_title,Role title backfilled at Freeze 3.1 from this repository's own platform artifacts. The workbook gives the same title independently.
both,Bask Health + Sales Engineer + 2026-04-06,Bask Health,Sales Engineer,2026-04-06,GHOSTED,LinkedIn application,Exact title present in source evidence,bask-health|sales-engineer|c1,Sales Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Baton AI + Founding GTM + 2026-07-12,Baton AI,Founding GTM,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,baton-ai|founding-gtm|c1,Founding GTM,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Beacon Software + GTM Engineer + 2026-01-26,Beacon Software,GTM Engineer,2026-01-26,GHOSTED,Direct application / ATS,Resolved from an archived contemporaneous job listing,beacon-software|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer` from evidence not in this corpus (Resolved from an archived contemporaneous job listing). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,Beautiful.ai + GTM Engineer + 2026-03-08,Beautiful.ai,GTM Engineer,2026-03-08,REJECTED,Direct application / ATS,Exact title present in source evidence,beautiful-ai|unspecified|c1,unspecified,application,A,rejected_after_interview,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `GTM Engineer` from evidence not in this corpus (Exact title present in source evidence). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,Bitovi + AI Enablement Engineer + 2025-06-30,Bitovi,AI Enablement Engineer,2025-06-30,GHOSTED,LinkedIn application,Exact title present in source evidence,bitovi|ai-enablement-engineer|c1,AI Enablement Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Block+Tackle + Forward Deployed Marketing Engineer + 2026-08-22,Block+Tackle,Forward Deployed Marketing Engineer,2026-08-22,APPLIED,LinkedIn application,Exact title present in source evidence,block-tackle|forward-deployed-marketing-engineer|c1,Forward Deployed Marketing Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Boulevard + GTM Engineer + 2026-03-31,Boulevard,GTM Engineer,2026-03-31,GHOSTED,Direct application / ATS,Exact title present in source evidence,boulevard|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Brainfish + Sales Development Representative (SDR) – Dive into AI with Brainfish! + 2025-07-07,Brainfish,Sales Development Representative (SDR) – Dive into AI with Brainfish!,2025-07-07,GHOSTED,LinkedIn application,Exact title present in source evidence,brainfish|sales-development-representative-sdr-dive-into-ai-with-brainfish|c1,Sales Development Representative (SDR) – Dive into AI with Brainfish!,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Brand.ai + GTM Engineer + 2026-04-02,Brand.ai,GTM Engineer,2026-04-02,REJECTED,Community origins,Exact title present in source evidence,brand-ai|gtme|c1,GTME,application,A,rejected_no_interview,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,BrightHire + Founding GTM Engineer + 2026-07-15,BrightHire,Founding GTM Engineer,2026-07-15,GHOSTED,Direct application / ATS,Resolved from a contemporaneous public listing; original ATS receipt omitted the title,brighthire|unspecified|c1,unspecified,application,A,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `Founding GTM Engineer` from evidence not in this corpus (Resolved from a contemporaneous public listing; original ATS receipt omitted the title). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,COLOSSUS TECHNOLOGY GROUP + GTM Engineer + 2026-04-06,COLOSSUS TECHNOLOGY GROUP,GTM Engineer,2026-04-06,GHOSTED,LinkedIn application,Exact title present in source evidence,colossus-technology-group|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,CRMIT Solutions + Ai Solutions Sales Specialist + 2026-04-10,CRMIT Solutions,Ai Solutions Sales Specialist,2026-04-10,GHOSTED,LinkedIn application,Exact title present in source evidence,crmit-solutions|ai-solutions-sales-specialist|c1,Ai Solutions Sales Specialist,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Canals + Sales Manager + 2026-06-24,Canals,Sales Manager,2026-06-24,GHOSTED,Jobright.ai application,Exact title present in source evidence,canals|sales-manager|c1,Sales Manager,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Casper Studios + GTM Engineer + 2026-03-23,Casper Studios,GTM Engineer,2026-03-23,GHOSTED,LinkedIn application,Exact title present in source evidence,casper-studios|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Circle + GTM Engineer, Outbound + 2025-06-20",Circle,"GTM Engineer, Outbound",2025-06-20,GHOSTED,Direct application / ATS,Exact title present in source evidence,circle|gtm-engineer-outbound|c1,"GTM Engineer, Outbound",application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,ClassDojo + RevOps Lead + 2025-08-08,ClassDojo,RevOps Lead,2025-08-08,REJECTED,Direct application / ATS,Exact title present in source evidence,classdojo|unspecified|c1,unspecified,application,B,still_open,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `RevOps Lead` from evidence not in this corpus (Exact title present in source evidence). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,"Clay + Growth Strategist, Enterprise (Customer Success) + 2026-06-24",Clay,"Growth Strategist, Enterprise (Customer Success)",2026-06-24,REJECTED,Jobright.ai application,Exact title present in source evidence,clay|growth-strategist-enterprise|c1,"Growth Strategist, Enterprise",application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,ClosedWon Talent + Founding Account Executive + 2025-07-08,ClosedWon Talent,Founding Account Executive,2025-07-08,GHOSTED,LinkedIn application,Exact title present in source evidence,closedwon-talent|founding-account-executive|c1,Founding Account Executive,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Cloudflare + GTM Engineer + 2026-06-04,Cloudflare,GTM Engineer,2026-06-04,REJECTED,Direct application / ATS,Exact title present in source evidence,cloudflare|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Clutch + GTM Engineer + 2026-07-19,Clutch,GTM Engineer,2026-07-19,REJECTED,Direct application / ATS,Exact title present in source evidence,clutch|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,CoLab + Sales Engineer + 2026-05-20,CoLab,Sales Engineer,2026-05-20,GHOSTED,Jobright.ai application,Exact title present in source evidence,colab-software|sales-engineer|c1,Sales Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,CoLab Software + Sales Engineer + 2026-05-21,CoLab Software,Sales Engineer,2026-05-21,REJECTED,Direct application / ATS,Exact title present in source evidence,colab-software|sales-engineer|c1,Sales Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Company.ai + GTM Sales Lead + 2026-07-06,Company.ai,GTM Sales Lead,2026-07-06,GHOSTED,LinkedIn application,Exact title present in source evidence,company-ai|gtm-sales-lead|c1,GTM Sales Lead,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,CompanyCam + GTM Systems Engineer + 2026-04-03,CompanyCam,GTM Systems Engineer,2026-04-03,GHOSTED,Direct application / ATS,Exact title present in source evidence,companycam|gtm-systems-engineer|c1,GTM Systems Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Confido + Founding GTM Engineer + 2026-07-12,Confido,Founding GTM Engineer,2026-07-12,GHOSTED,Direct application / ATS,Exact title present in source evidence,confido|founding-gtm-engineer|c1,Founding GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Conversion + GTM Engineer + 2026-07-14,Conversion,GTM Engineer,2026-07-14,GHOSTED,Direct application / ATS,Exact title present in source evidence,conversion|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Coverwatch + Founding GTM + 2026-07-12,Coverwatch,Founding GTM,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,coverwatch|founding-gtm|c1,Founding GTM,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Crash Override + Growth Engineer + 2026-04-16,Crash Override,Growth Engineer,2026-04-16,GHOSTED,LinkedIn application,Exact title present in source evidence,crash-override|growth-engineer|c1,Growth Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Cresta + GTM Engineer + 2026-04-10,Cresta,GTM Engineer,2026-04-10,GHOSTED,Direct application / ATS,Exact title present in source evidence,cresta|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Crossing Hurdles + GTM Lead + 2026-04-01,Crossing Hurdles,GTM Lead,2026-04-01,GHOSTED,LinkedIn application,Exact title present in source evidence,crossing-hurdles|gtm-lead|c1,GTM Lead,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Crypto.com + Product Growth Hacker: Exchange & Main App + 2025-08-05,Crypto.com,Product Growth Hacker: Exchange & Main App,2025-08-05,REJECTED,Direct application / ATS,Exact title present in source evidence,crypto-com|product-growth-hacker-exchange-main-app|c1,Product Growth Hacker: Exchange & Main App,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"Cursor + GTM, Emerging Products + 2026-07-12",Cursor,"GTM, Emerging Products",2026-07-12,REJECTED,Direct application / ATS,Exact title present in source evidence,anysphere|gtm-emerging-products|c1,"GTM, Emerging Products",application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,DBeaver + GTM Engineer + 2026-05-20,DBeaver,GTM Engineer,2026-05-20,REJECTED,Jobright.ai application,Exact title present in source evidence,dbeaver|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,DISQO + GTM Engineer + 2026-03-27,DISQO,GTM Engineer,2026-03-27,REJECTED,LinkedIn application,Exact title present in source evidence,disqo|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Dagster Labs + GTM Engineer + 2026-03-30,Dagster Labs,GTM Engineer,2026-03-30,GHOSTED,Direct application / ATS,Exact title present in source evidence,dagster-labs|gtm-engineer|c1,GTM Engineer,application,A,rejected_after_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Databar.ai + GTM Engineer (Growth & Sales) + 2026-02-10,Databar.ai,GTM Engineer (Growth & Sales),2026-02-10,GHOSTED,LinkedIn application,Exact title present in source evidence,databar-ai|gtm-engineer-growth-sales|c1,GTM Engineer (Growth & Sales),application,C,,no,company_and_role,,agreed,Both datasets hold this record and place it in the application register.
both,Databar.ai + GTM Engineer (Growth & Sales) + 2025-06-14,Databar.ai,GTM Engineer (Growth & Sales),2025-06-14,GHOSTED,LinkedIn application,Exact title present in source evidence,databar-ai|gtm-engineer-growth-sales|c1,GTM Engineer (Growth & Sales),application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Datricks + Sales Engineer - US (Remote) + 2025-06-20,Datricks,Sales Engineer - US (Remote),2025-06-20,GHOSTED,LinkedIn application,Exact title present in source evidence,datricks|sales-engineer-us-remote|c1,Sales Engineer - US (Remote),application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Deepgram + GTM Engineer + 2026-05-20,Deepgram,GTM Engineer,2026-05-20,REJECTED,Jobright.ai application,Exact title present in source evidence,deepgram|gtm-engineer|c1,GTM Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,DevSignal + Growth Specialist + 2026-01-26,DevSignal,Growth Specialist,2026-01-26,GHOSTED,LinkedIn application,Exact title present in source evidence,devsignal|growth-specialist|c1,Growth Specialist,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Doomers AI + Founding GTM + 2026-07-26,Doomers AI,Founding GTM,2026-07-26,GHOSTED,LinkedIn application,Exact title present in source evidence,doomers-ai|founding-gtm|c1,Founding GTM,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Drata + Sales Development Representative (Remote) + 2025-06-16,Drata,Sales Development Representative (Remote),2025-06-16,REJECTED,Direct application / ATS,Exact title present in source evidence,drata|sdr-remote|c1,SDR Remote,application,B,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,DripShop + Growth Lead - User Acquisition + 2026-06-21,DripShop,Growth Lead - User Acquisition,2026-06-21,GHOSTED,LinkedIn application,Exact title present in source evidence,dripshop|growth-lead-user-acquisition|c1,Growth Lead - User Acquisition,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Duckbill + Founding Sales / GTM + 2026-07-07,Duckbill,Founding Sales / GTM,2026-07-07,GHOSTED,LinkedIn application,Exact title present in source evidence,duckbill|founding-sales-gtm|c1,Founding Sales / GTM,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Durham Geo Slope Indicator (DGSI) + Technical Sales Engineer + 2026-06-21,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-06-21,GHOSTED,LinkedIn application,Exact title present in source evidence,durham-geo-slope-indicator-dgsi|technical-sales-engineer|c1,Technical Sales Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Durham Geo Slope Indicator (DGSI) + Technical Sales Engineer + 2026-04-19,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-04-19,GHOSTED,LinkedIn application,Exact title present in source evidence,durham-geo-slope-indicator-dgsi|technical-sales-engineer|c1,Technical Sales Engineer,application,C,,no,company_and_role,,agreed,Both datasets hold this record and place it in the application register.
both,Elios AI + Senior Forward Deployed Engineer + 2026-07-18,Elios AI,Senior Forward Deployed Engineer,2026-07-18,GHOSTED,LinkedIn application,Exact title present in source evidence,elios-ai|senior-forward-deployed-engineer|c1,Senior Forward Deployed Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Enlace Health + Sales Engineer + 2026-06-24,Enlace Health,Sales Engineer,2026-06-24,REJECTED,Jobright.ai application,Exact title present in source evidence,enlace-health|sales-engineer|c1,Sales Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Entelligence.AI + Founding GTM + 2026-07-12,Entelligence.AI,Founding GTM,2026-07-12,GHOSTED,LinkedIn application,Exact title present in source evidence,entelligence-ai|founding-gtm|c1,Founding GTM,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,"EvenUp + AI Adoption Manager, Strategic & Enterprise Accounts | Southeast + 2026-05-25",EvenUp,"AI Adoption Manager, Strategic & Enterprise Accounts | Southeast",2026-05-25,REJECTED,Direct application / ATS,Exact title present in source evidence,evenup|ai-adoption-manager-southeast|c1,"AI Adoption Manager, Southeast",application,A,rejected_no_interview,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,Every + GTM Engineer + 2026-04-20,Every,GTM Engineer,2026-04-20,GHOSTED,Community origins,Exact title present in source evidence,every-to|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Evolution USA + Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote) + 2026-06-04,Evolution USA,Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote),2026-06-04,GHOSTED,LinkedIn application,Exact title present in source evidence,evolution-usa|forward-deplyed-engineer-fde-applied-ai-genai-remote|c1,Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote),application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Exa Labs Inc. + Growth Lead + 2025-07-25,Exa Labs Inc.,Growth Lead,2025-07-25,GHOSTED,Direct application / ATS,Exact title present in source evidence,exa|growth-lead|c1,Growth Lead,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Fixify + Go-To-Market Engineer (Contract) + 2026-04-06,Fixify,Go-To-Market Engineer (Contract),2026-04-06,REJECTED,Direct application / ATS,Exact title present in source evidence,fixify|gtm-engineer-contract|c1,GTM Engineer (Contract),application,A,still_open,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
both,Fixify + Go-To-Market Engineer (Contract) + 2026-04-03,Fixify,Go-To-Market Engineer (Contract),2026-04-03,GHOSTED,Direct application / ATS,Exact title present in source evidence,fixify|gtm-engineer-contract|c1,GTM Engineer (Contract),application,A,still_open,yes,company_only,,agreed,Both datasets hold this record and place it in the application register.
