Origin/Source,Company,Role/Title,Role Lane,Role Title Resolution,Date of first contact or application,Current/Final Status,Interview Count,Thread/Dedup Key,Notes/Uncertainty
ATS: Ashby,Higgsfield,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,Higgsfield + GTM Engineer + 2026-07-15,21+ days after last Step 1 activity.
ATS: Greenhouse,Hologram,"GTM Engineer, Pre-Sales","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-07-15,REJECTED,2,"Hologram + GTM Engineer, Pre-Sales + 2026-07-15",Two completed interviews: preliminary screening with per_c326cb3fc4f6 on 2026-07-20 and cross-functional interview with per_144703380120 on 2026-07-22. User sent Derrick a same-day thank-you; written rejection received 2026-07-23. [User reconciliation 2026-08-30] Two interviews confirmed.
ATS: Ashby,HUD,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,REJECTED,UNKNOWN,HUD + GTM Engineer + 2026-07-15,—
ATS: Ashby,Lorikeet,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,REJECTED,UNKNOWN,Lorikeet + GTM Engineer + 2026-07-15,Position reported filled.
ATS: Ashby,Nooks,"GTM Engineer, Marketing","Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,"Nooks + GTM Engineer, Marketing + 2026-07-15",21+ days after last Step 1 activity.
ATS: Gem,Productboard,Associate GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,Productboard + Associate GTM Engineer + 2026-07-15,—
ATS: Ashby,Scribe,GTM Engineer,GTM Engineering,Resolved from a same-period LinkedIn job recommendation; ATS receipt omitted the title,2026-07-15,GHOSTED,UNKNOWN,Scribe + GTM Engineer + 2026-07-15,Role absent from message; 21+ days after last activity. Evidence amendment accepted 2026-08-30: A same-period LinkedIn job recommendation identifies Scribe's opening as GTM Engineer.
LinkedIn recruiter/person outbound: per_7f9f994fb43d / UNKNOWN — hospice client,UNKNOWN — hospice client,"Hospice Account Executive (West Atlanta, GA)","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,"UNKNOWN — hospice client + Hospice Account Executive (West Atlanta, GA) + 2026-07-15",LinkedIn thread with per_7f9f994fb43d (Recruiter (agency)); source stage: Ghosted; confidence: High. Agency pitch for a hospice AE role with a job-description link. Not replied to.
ATS: Lever,Yuno,Go To Market Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,Yuno + Go To Market Engineer + 2026-07-15,21+ days after last Step 1 activity.
ATS: Ashby,Conversion,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-14,GHOSTED,UNKNOWN,Conversion + GTM Engineer + 2026-07-14,21+ days after last Step 1 activity.
LinkedIn recruiter/person outbound: per_43e045a39cba / UNKNOWN — financial team,UNKNOWN — financial team,Financial-services opportunity (exact title unresolved),Financial Services & Advisory,Functional role recovered; formal title remains unresolved (was Unspecified),2026-07-14,GHOSTED,UNKNOWN,UNKNOWN — financial team + Financial-services opportunity (exact title unresolved) + 2026-07-14,LinkedIn thread with per_43e045a39cba (Recruiter (agency/talent scout)); source stage: Phone Screen; confidence: Medium. Talent scout for a top financial team asked if you keep options open beyond your Founding GTM Engineer work. You said 'Sure always open'; she dropped a Calendly. Financial-services recruiting pattern. Exact-title repair: The recruiter explicitly described the hiring organization as a financial team but did not name the title.
Recruiter intermediary: per_90332d69c703 / HartleyCo,Bluejay,Founding GTM,Founding GTM,Exact title present in source evidence,2026-07-13,REJECTED,1,Bluejay + Founding GTM + 2026-07-13,Initial recruiter email called this GTM Engineer; later rejection identified Bluejay and Founding GTM. Recruiter screen with Josh Kelly completed 2026-07-13; Josh followed up with 'Great speaking with you.' Rejected 2026-07-23.
ATS: Ashby; LinkedIn follow-up/referral attempt,Patch,Growth Engineering Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-13,GHOSTED,UNKNOWN,Patch + Growth Engineering Lead + 2026-07-13,21+ days after last Step 1 activity. Same-day LinkedIn message to per_116da8a1a585 sought a referral after the application.
ATS: Gem,Productboard,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-13,GHOSTED,UNKNOWN,Productboard + GTM Engineer + 2026-07-13,—
LinkedIn application,Baton AI,Founding GTM,Founding GTM,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Baton AI + Founding GTM + 2026-07-12,LinkedIn application export; job ID 4432139171; http://www.linkedin.com/jobs/view/4432139171
ATS: Ashby,Confido,Founding GTM Engineer,Founding GTM,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Confido + Founding GTM Engineer + 2026-07-12,21+ days after last Step 1 activity.
LinkedIn application,Coverwatch,Founding GTM,Founding GTM,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Coverwatch + Founding GTM + 2026-07-12,LinkedIn application export; job ID 4425678611; http://www.linkedin.com/jobs/view/4425678611
ATS: Ashby,Cursor,"GTM, Emerging Products","GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-07-12,REJECTED,UNKNOWN,"Cursor + GTM, Emerging Products + 2026-07-12",—
LinkedIn application,Entelligence.AI,Founding GTM,Founding GTM,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Entelligence.AI + Founding GTM + 2026-07-12,LinkedIn application export; job ID 4429363758; http://www.linkedin.com/jobs/view/4429363758
LinkedIn application,HartleyCo,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,HartleyCo + GTM Engineer + 2026-07-12,LinkedIn application export; job ID 4433942058; http://www.linkedin.com/jobs/view/4433942058
LinkedIn application,Human Delta,Founding GTM Engineer,Founding GTM,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Human Delta + Founding GTM Engineer + 2026-07-12,LinkedIn application export; job ID 4379699068; http://www.linkedin.com/jobs/view/4379699068
LinkedIn application,Kana,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Kana + GTM Engineer + 2026-07-12,LinkedIn application export; job ID 4427085765; http://www.linkedin.com/jobs/view/4427085765
LinkedIn application,Light Labs,"GTM Engineer, Agents",GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,"Light Labs + GTM Engineer, Agents + 2026-07-12",LinkedIn application export; job ID 4377633056; http://www.linkedin.com/jobs/view/4377633056
ATS: Ashby,Listen Labs,Lead GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Listen Labs + Lead GTM Engineer + 2026-07-12,21+ days after last Step 1 activity.
LinkedIn application,Logicbroker,AI GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Logicbroker + AI GTM Engineer + 2026-07-12,LinkedIn application export; job ID 4433617553; http://www.linkedin.com/jobs/view/4433617553
LinkedIn application,Massive,GTM,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Massive + GTM + 2026-07-12,LinkedIn application export; job ID 4438841359; http://www.linkedin.com/jobs/view/4438841359
LinkedIn application,"Method Recruiting, a 3x Inc. 5000 company",Founding GTM Engineer,Founding GTM,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,"Method Recruiting, a 3x Inc. 5000 company + Founding GTM Engineer + 2026-07-12",LinkedIn application export; job ID 4432661212; http://www.linkedin.com/jobs/view/4432661212
LinkedIn application,Nudge AI,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Nudge AI + Growth Lead + 2026-07-12,LinkedIn application export; job ID 4396375043; http://www.linkedin.com/jobs/view/4396375043
LinkedIn application,Sidepocket,Go-To-Market Growth Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Sidepocket + Go-To-Market Growth Engineer + 2026-07-12,LinkedIn application export; job ID 4434887595; http://www.linkedin.com/jobs/view/4434887595
LinkedIn application,Stealth Startup,GTM Leader / Head of Growth [33260],"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Stealth Startup + GTM Leader / Head of Growth [33260] + 2026-07-12,LinkedIn application export; job ID 4433920623; http://www.linkedin.com/jobs/view/4433920623
LinkedIn application → downstream confirmation: ATS: Workable,talentpluto,Go-to-Market Engineer,GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,talentpluto + Go-to-Market Engineer + 2026-07-12,Possible duplicate of GTM Engineer submission in same thread. LinkedIn Easy Apply/export record: job ID 4438813846; application date 2026-07-12; http://www.linkedin.com/jobs/view/4438813846
LinkedIn application → downstream confirmation: ATS: Workable,talentpluto,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,talentpluto + GTM Engineer + 2026-07-12,Possible duplicate of Go-to-Market Engineer submission 3 minutes earlier. LinkedIn Easy Apply/export record: job ID 4434255520; application date 2026-07-12; http://www.linkedin.com/jobs/view/4434255520
LinkedIn application,Taste Labs,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,Taste Labs + Growth Lead + 2026-07-12,LinkedIn application export; job ID 4428044935; http://www.linkedin.com/jobs/view/4428044935
LinkedIn application,The Biological Computing Co. (TBC),Lead Sales and Product Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-07-12,GHOSTED,UNKNOWN,The Biological Computing Co. (TBC) + Lead Sales and Product Engineer + 2026-07-12,LinkedIn application export; job ID 4430873489; http://www.linkedin.com/jobs/view/4430873489
ATS: Ashby,"Pogo Technologies, Inc.",GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-08,GHOSTED,UNKNOWN,"Pogo Technologies, Inc. + GTM Engineer + 2026-07-08",21+ days after last Step 1 activity.
LinkedIn application,Duckbill,Founding Sales / GTM,Founding GTM,Exact title present in source evidence,2026-07-07,GHOSTED,UNKNOWN,Duckbill + Founding Sales / GTM + 2026-07-07,LinkedIn application export; job ID 4436847982; http://www.linkedin.com/jobs/view/4436847982
LinkedIn application,Company.ai,GTM Sales Lead,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-07-06,GHOSTED,UNKNOWN,Company.ai + GTM Sales Lead + 2026-07-06,LinkedIn application export; job ID 4360396738; http://www.linkedin.com/jobs/view/4360396738
ATS: Rippling,InRule Technology,GTM Engineer,GTM Engineering,Exact title confirmed directly in the application receipt,2026-07-06,GHOSTED,UNKNOWN,InRule Technology + GTM Engineer + 2026-07-06,Role unresolved. Evidence amendment accepted 2026-08-30: The InRule application receipt explicitly states Position: GTM Engineer.
LinkedIn application,Inworld AI,GTM Lead,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-07-06,GHOSTED,UNKNOWN,Inworld AI + GTM Lead + 2026-07-06,LinkedIn application export; job ID 4360055693; http://www.linkedin.com/jobs/view/4360055693
LinkedIn application,TechLinkSphere,Micro-SaaS Launch & Growth Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-06,GHOSTED,UNKNOWN,TechLinkSphere + Micro-SaaS Launch & Growth Engineer + 2026-07-06,LinkedIn application export; job ID 4436063352; http://www.linkedin.com/jobs/view/4436063352
LinkedIn recruiter/person outbound: per_ce79cc832bea / UNKNOWN — Series B warehouse-intelligence startup,UNKNOWN — Series B warehouse-intelligence startup,Revenue Operations Specialist (US remote),Revenue & GTM Operations,Exact title present in source evidence,2026-06-29,GHOSTED,UNKNOWN,UNKNOWN — Series B warehouse-intelligence startup + Revenue Operations Specialist (US remote) + 2026-06-29,"LinkedIn thread with per_ce79cc832bea (Recruiter (agency)); source stage: Ongoing; confidence: High. Agency recruiter running a search for a RevOps specialist at a 'hyper-growth Series B' building a vision-powered warehouse intelligence platform with autonomous drones. You initially read it as spam, then circled back: 'I'm down Michael.' Shared your number; call scheduling in motion at export. Full GTM tech stack + forecasting ownership."
ATS: Gem,Pogo Technologies,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-26,GHOSTED,UNKNOWN,Pogo Technologies + GTM Engineer + 2026-06-26,Possible reapplication; separate ATS receipt.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,Trase,"GTM Engineer, Healthcare",GTM Engineering,Exact title present in source evidence,2026-06-26,REJECTED,UNKNOWN,"Trase + GTM Engineer, Healthcare + 2026-06-26",Rejected 2026-07-10. Jobright log: Applied by Agent; United States; Remote; $130K/yr - $150K/yr.
Cold outreach I initiated via LinkedIn → ZipRecruiter → ATS: Ashby,Gradient Labs,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-06-25,REJECTED,UNKNOWN,Gradient Labs + GTM Engineer + 2026-06-25,ZipRecruiter requested completion on 2026-07-21; later Ashby rejection. Completed-application date unknown. LinkedIn shows a 2026-06-25 cold message after reviewing the GTM job description; treated as the same GTM Engineer opening.
LinkedIn application,Hermetic AI,"Sales Development Representative - Atlanta, GA",Sales Development & Business Development,Exact title present in source evidence,2026-06-25,GHOSTED,UNKNOWN,"Hermetic AI + Sales Development Representative - Atlanta, GA + 2026-06-25",LinkedIn application export; job ID 4431305953; http://www.linkedin.com/jobs/view/4431305953
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: myworkday.com,Automation Anywhere,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,Automation Anywhere + Sales Engineer + 2026-06-24,— Jobright log: Applied by Agent; United States; Remote; $180K/yr - $190K/yr.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,Canals,Sales Manager,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,Canals + Sales Manager + 2026-06-24,21+ days after last Step 1 activity. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,Clay,"Growth Strategist, Enterprise (Customer Success)","Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,"Clay + Growth Strategist, Enterprise (Customer Success) + 2026-06-24",— Jobright log: Applied by Agent; NYC Metro Area; Hybrid; $150K/yr - $210K/yr.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Greenhouse,Enlace Health,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,Enlace Health + Sales Engineer + 2026-06-24,"Rejected 2026-06-26. Jobright log: Applied by Agent; Atlanta, GA; Onsite; Not stated."
LinkedIn application,Hippocratic AI,Deployment Strategist,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,Hippocratic AI + Deployment Strategist + 2026-06-24,LinkedIn application export; job ID 4422676328; http://www.linkedin.com/jobs/view/4422676328
LinkedIn application + person/recruiter thread: LinkedIn application + follow-up: per_23ae91cab5b7 / Melavex,Melavex,Founding GTM Lead,Founding GTM,Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,Melavex + Founding GTM Lead + 2026-06-24,LinkedIn thread with per_23ae91cab5b7 (Internal Employee (founder)); source stage: Phone Screen; confidence: High. Melavex's founder responded to your application (submitted 06/24/26) same-day: 'I'd love to arrange a quick chat to run through your profile & experience.' You replied 'Today!' — unclear if the call landed. Fastest application→founder-response turnaround in the export. LinkedIn Easy Apply/export record: job ID 4427560845; application date 2026-06-24; http://www.linkedin.com/jobs/view/4427560845
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: minio.io,MinIO,Business Development Representative - Enterprise,Sales Development & Business Development,Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,MinIO + Business Development Representative - Enterprise + 2026-06-24,Rejected 2026-06-27. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,OpenObserve Inc.,Growth Marketer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,OpenObserve Inc. + Growth Marketer + 2026-06-24,Earliest documented email is rejection; application date unknown. Jobright log: Applied by Agent; United States; Remote; Not stated.
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Teamtailor,RevPartners,RevOps Strategist,Revenue & GTM Operations,Exact title present in source evidence,2026-06-24,REJECTED,UNKNOWN,RevPartners + RevOps Strategist + 2026-06-24,Rejected 2026-06-26; exact role unresolved. Jobright log: Applied by Agent; United States; Remote; Not stated.
LinkedIn application,Robert Half,Go-To-Market Lead,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,Robert Half + Go-To-Market Lead + 2026-06-24,LinkedIn application export; job ID 4426606510; http://www.linkedin.com/jobs/view/4426606510
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,StackAI,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-06-24,GHOSTED,UNKNOWN,StackAI + Sales Engineer + 2026-06-24,21+ days after last Step 1 activity. Jobright log: Applied by Agent; United States; Remote; $140K/yr - $210K/yr.
