Person,Direction,Origin/Source,Company,Role/Title,First Date,Last Activity,Source Stage,Mapped Status,Interview Count,Confidence,Summary,Key Details
per_34d052de57d1,Inbound,LinkedIn recruiter/person outbound: per_34d052de57d1 / WorkOS,WorkOS,GTM Engineer (remote),2025-08-25,2025-08-26,Ghosted,GHOSTED,UNKNOWN,High,"Agency recruiter pitched WorkOS's GTM Engineer role ($160k–$185k + equity, $95M funded, Greenoaks-backed). You said 'Would love to talk.' He sent a booking link; no evidence the call happened.",$160–185k + equity. Booking via cal.com link.
per_c2fa784a3619,Outbound,Cold outreach I initiated via LinkedIn: per_c2fa784a3619 / Stealth US startup,Stealth US startup,GTM Engineer,2025-08-31,2025-09-03,Ghosted,GHOSTED,UNKNOWN,Medium,You reached out (video message); Alex passed your message to 'the guy who's in charge of the hiring process' and asked for workflows/Loom videos or projects. No further thread activity. Evidence amendment: Alex's public hiring post identifies a GTM Engineer opening at a stealth US startup.,Asked for portfolio artifacts as proof of work.
per_4ac9a3152740,Inbound,LinkedIn recruiter/person outbound: per_4ac9a3152740 / UNKNOWN — financial agency,UNKNOWN — financial agency,Financial professional (remote),2025-09-24,2025-09-24,Ghosted,GHOSTED,UNKNOWN,Medium,'People with your skills tend to do great in our industry' — financial agency expansion pitch. Not replied to.,
per_aec4f99dfc89,Inbound,LinkedIn recruiter/person outbound: per_aec4f99dfc89 / UNKNOWN — Flexton client,UNKNOWN — Flexton client,Enablement Lead,2025-10-02,2025-10-03,Ghosted,GHOSTED,UNKNOWN,High,"Flexton Sr. Technical Recruiter pitched an Enablement Lead role. You said 'Lmk! Open to opps,' she sent the JD, and you asked about the rate split ('82% of 85 or of 65 dollars an hour lol'). Thread ends.",Hourly contract rate in the $65–85/hr band implied.
per_d6d740bb1b83,Inbound,LinkedIn recruiter/person outbound: per_d6d740bb1b83 / Ambient.ai,Ambient.ai,"GTM Engineer (first-ever, remote)",2025-10-09,2025-10-10,Ghosted,GHOSTED,UNKNOWN,High,"Strong inbound: Ambient.ai (YC + a16z backed, F100 security customers) hiring their FIRST GTM Engineer. You asked sharp questions about team composition; she answered (8 BDRs, 2 PMMs, 1 RevOps) — then the thread died.",Ashby job link shared. One of the highest-fit inbound threads that still fizzled.
per_a530a533299b,Inbound,LinkedIn recruiter/person outbound: per_a530a533299b / Unknown,Unknown,"AI Enablement Specialist (Atlanta, hybrid)",2025-11-07,2025-11-07,Ghosted,GHOSTED,UNKNOWN,High,Bare-bones agency pitch; you replied 'tell me about it' — no response.,
Outlier,Inbound,LinkedIn recruiter/person outbound: Outlier / Outlier,Outlier,Short-term image annotation (freelance),2025-11-21,2025-11-21,Ghosted,GHOSTED,UNKNOWN,Medium,Gig-platform pitch for flexible-hours AI training work. Not replied to.,"Gig/contract, not a role."
per_be9ed474c455,Inbound,LinkedIn recruiter/person outbound: per_be9ed474c455 / Capital Linguists,Capital Linguists,Part-time SDR/BDR (contractor),2025-11-23,2025-11-23,Ghosted,GHOSTED,UNKNOWN,High,"Part-time SDR/BDR contractor pitch (outreach, pipeline, HubSpot) for a translation/interpretation company. Not replied to.",
per_c7f7673850f6,Inbound,LinkedIn recruiter/person outbound: per_c7f7673850f6 / UNKNOWN — agency client,UNKNOWN — agency client,"Sales Development Representative (Alpharetta, GA)",2026-01-05,2026-01-05,Ghosted,GHOSTED,UNKNOWN,High,Agency pitch for an SDR role in Alpharetta on a 2-year contract. Not replied to.,2-year contract duration.
Jamie Neubeck,Inbound,LinkedIn recruiter/person outbound: per_648a39346310 / UNKNOWN — Jamie Neubeck referral,UNKNOWN — Jamie Neubeck referral,"SDR (Atlanta, hybrid)",2026-01-06,2026-01-06,Ghosted,GHOSTED,UNKNOWN,High,Personal-network referral: 'My best friend is hiring and I told her I'd look through my network.' Not replied to.,Warmest kind of inbound — and it still went unanswered. Worth a revisit.
per_5864edd8d1eb,Inbound,LinkedIn recruiter/person outbound: per_5864edd8d1eb / Glytec,Glytec,Sr. GTM Software Engineer (AI-enabled GTM engine),2026-01-21,2026-01-30,Rejected,REJECTED,UNKNOWN,High,"Deepest process in the whole export. Glytec's CEO reached out personally ('you were personally recommended by my network') for an AI-enabled GTM build role. You interviewed with hiring manager Clayton Maike on 01/27, then told Patrick: 'too much churn in my background for Clayton's liking.' Offered 1099 help on the way out; Patrick left the door open.","Glytec: 60% YoY growth, enterprise hospital sales. Rejection reason: background churn. per_206d53e71484 thread confirms Glytec was recruiting this role in Peachtree Corners."
per_342b3fd74701,Inbound,LinkedIn recruiter/person outbound: per_342b3fd74701 / Handshake AI Fellowship,Handshake AI Fellowship,Sales & Marketing Professionals project (remote),2026-02-11,2026-02-11,Ghosted,GHOSTED,UNKNOWN,Medium,Fellowship gig pitch at $120/hr for sales/marketing expertise applied to AI work. Not replied to.,$120/hr rate mentioned.
Vikas CV,Inbound,LinkedIn recruiter/person outbound: per_63213c5fe064 / IBM,IBM,Brand Technical Sales Specialist (Brookhaven/Atlanta),2026-02-27,2026-02-27,Ghosted,GHOSTED,UNKNOWN,High,IBM sourcer pitch for a technical sales role. Not replied to.,
per_1dfe7af83245,Inbound,LinkedIn recruiter/person outbound: per_1dfe7af83245 / TheKiln,TheKiln,GTM Engineer,2026-03-03,2026-03-06,Ghosted,GHOSTED,1,High,Found you via GTM Engineer School testimonials; you told him you were looking for a GTME gig and hopped on a same-day video call. He promised an intro to TheKiln founders Patrick and Mathias. Your 03/06 follow-up ('Any word boss man?') went unanswered.,"Same-day call happened. Founder intro promised, not delivered in thread."
per_85ce3b5e7e8b,Inbound,LinkedIn recruiter/person outbound: per_85ce3b5e7e8b / New York Life,New York Life,Financial Advisor / Fast-Track-to-Management,2026-03-04,2026-03-04,Ghosted,GHOSTED,UNKNOWN,Medium,Second NY Life pitch off your open-to-work status (first thread dates to Feb 2025). Not replied to.,Insurance recruiting; repeat offender.
per_f87ef433aef5,Outbound,Cold outreach I initiated via LinkedIn: per_f87ef433aef5 / UNKNOWN — digital product builder,UNKNOWN — digital product builder,Unspecified,2026-03-07,2026-03-09,Ghosted,GHOSTED,UNKNOWN,Medium,Friends in Atlanta sent you a 'digital product builder application'; you cold-messaged Kayla asking for an intro. No reply.,
per_83a65c6fe4d6,Inbound,LinkedIn recruiter/person outbound: per_83a65c6fe4d6 / Virtru,Virtru,Director of Go-to-Market AI,2026-03-09,2026-03-09,Ghosted,GHOSTED,UNKNOWN,High,"Virtru's talent manager pitched a Director of GTM AI opening (Greenhouse link). You replied same day, offered a call, sent lecturesfrom.com. No response from her.",Director-level inbound.
per_e4b688b984ea,Outbound,Cold outreach I initiated via LinkedIn: per_e4b688b984ea / The Workflow Company,The Workflow Company,AI/GTM Automation Generalist (part-time to full-time),2026-03-09,2026-03-17,Rejected,REJECTED,0,High,"You sent your portfolio and videos. Joe (OOO, then caught up) gave a thoughtful soft no: 'not quite the right fit for this exact role as I envision it... your skill set + taste + SDR experience could be incredibly valuable in the near future.' Both agreed to keep in touch. Evidence amendment: the matching founder post identifies The Workflow Company; Parallel was an incorrect attribution.",Most respectful rejection in the export. Door explicitly left open.
per_d67cf0441d23,Inbound,LinkedIn recruiter/person outbound: per_d67cf0441d23 / Opsin Security,Opsin Security,GTM Engineer,2026-03-09,2026-03-10,Phone Screen,GHOSTED,UNKNOWN,High,"Agency recruiter hiring a technical GTM operator for Opsin, an AI security startup. You sent your resume same day; phone tag ensued — a 2pm EST call missed, rescheduled to 3:30pm EST. Company revealed as Opsin at end of thread.","Role wanted 5-10 yrs, LLM APIs, LangChain/LlamaIndex, Python/JS. Resume submitted."
per_f25d88915b87,Inbound,LinkedIn recruiter/person outbound: per_f25d88915b87 / New York Life,New York Life,Unspecified (financial),2026-03-17,2026-03-17,Ghosted,GHOSTED,UNKNOWN,Medium,"Third NY Life touch, referencing your Mobb business-development experience. Not replied to.",
per_6d523f811622,Outbound,Cold outreach I initiated via LinkedIn: per_6d523f811622 / Teleport,Teleport,GTM Engineer,2026-04-14,2026-04-14,Applied,GHOSTED,UNKNOWN,High,"You notified Andrew you'd 'just applied for position' and planned to send a video intro 'just so you know im real.' No reply in thread. Evidence amendment: this is the same Teleport GTM Engineer application confirmed by ATS minutes earlier, not a separate opportunity.",Company/role not identifiable from thread or application log.
per_c1316df91476,Inbound,LinkedIn recruiter/person outbound: per_c1316df91476 / 2X,2X,"GTM Engineer (Clay-centric, client portfolio)",2026-04-27,2026-04-29,Phone Screen,GHOSTED,UNKNOWN,High,2X recruiter pitched a Clay-heavy GTM Engineer role owning a small client portfolio end-to-end. You sent your calendar; slots didn't line up; you said you're 'super flexible' and offered to qualify yourself or refer someone. Unclear if the call happened.,HubSpot/Salesforce + sequencing tools scope.
per_5df87ec336ec,Inbound,LinkedIn recruiter/person outbound: per_5df87ec336ec / Best Version Media,Best Version Media,Sales Specialist,2026-05-06,2026-05-13,Ghosted,GHOSTED,UNKNOWN,Medium,"BVM pitched a sales role off your open-to-work status; you replied late ('Sorry for the delay!'); she pushed resume + scheduler (Chante, 262 area code). Nothing after.",Interview scheduling machinery offered.
per_13f4bab176da,Inbound,LinkedIn recruiter/person outbound: per_13f4bab176da / Aptean,Aptean,Revenue Operations Analyst – GTM AI,2026-05-20,2026-05-22,Phone Screen,GHOSTED,UNKNOWN,High,Alice (who'd pitched you Aptean BDR/ADR roles back in 2023) returned with a RevOps Analyst – GTM AI role: build/maintain the revenue tech stack and apply AI. You said 'Sure!'; she asked for availability for a call the following week.,"Thread predates range (started 01/12/2023) — flagged; in-range activity is a fresh, relevant role."
per_0a694f9257f4,Outbound,Cold outreach I initiated via LinkedIn: per_0a694f9257f4 / UNKNOWN — per_0a694f9257f4' company,UNKNOWN — per_0a694f9257f4' company,GTM Engineer,2026-05-21,2026-05-21,No Opportunity,EXCLUDE,UNKNOWN,High,"You asked Noah directly: 'Saw you guys need / want to install the GTME?' Answer: 'yea we're not hiring rn or anything, but do have a partner program if ur interested in that!'","Direct ask, clean no, partner program offered as consolation."
per_b0dcd893b225,Outbound,LinkedIn application + follow-up: per_b0dcd893b225 / AICRO,AICRO,GTM Engineer,2026-05-25,2026-05-26,No Opportunity,GHOSTED,UNKNOWN,High,"You cold-messaged Eric after seeing he was hiring a GTM Engineer. He pointed you to the recruiter on the role, James Thomas: 'Suggest prospecting him successfully so that I might see you on the other side (interviews).' You saluted and moved on.",Classic GTME test: prospect the recruiter to earn the interview. Application log shows AICRO GTM Engineer applied same day.
per_e63747829297,Inbound,LinkedIn recruiter/person outbound: per_e63747829297 / Aptean,Aptean,Revenue Operations (Clay experience),2026-05-28,2026-05-28,Phone Screen,GHOSTED,UNKNOWN,High,Second Aptean recruiter in eight days — RevOps role explicitly requiring Clay experience. You offered to talk same day; she proposed 11am or 12pm EST on 6/2.,Aptean clearly sourcing Clay-fluent RevOps/GTM talent in Alpharetta.
per_9a33cb2e6778,Inbound,LinkedIn recruiter/person outbound: per_9a33cb2e6778 / RevSpring,RevSpring,"Lead, Agentic Operations + GTM Engineering",2026-05-29,2026-05-29,Ghosted,GHOSTED,UNKNOWN,High,RevSpring (healthcare fintech) pitched a lead role combining agentic ops and GTM engineering. Not replied to.,Strong title-fit inbound that got no reply.
per_a0d440162c3c,Outbound,LinkedIn application + follow-up: per_a0d440162c3c / AnyInt AI,AnyInt AI,Founding Sales (fully remote),2026-06-09,2026-06-09,Applied,GHOSTED,UNKNOWN,High,"Response to your LinkedIn application: AnyInt AI (ex-DeepSeek/Google founding team, AI video routing platform) sent the JD and offered next steps. No further thread activity.",
per_114ee740dd72,Outbound,LinkedIn application + follow-up: per_114ee740dd72 / The Hog,The Hog,Founding GTM Engineer,2026-06-04,2026-06-15,Phone Screen,GHOSTED,UNKNOWN,High,'Thank you for the Founding GTM Engineer role with us' — a response to your application. Hudson asked to book an initial phone interview; you grabbed a 7pm EST slot for the next day ('Hudson is my middle name funny enough').,"Company unnamed in thread; your application log shows a Founding GTM Engineer application to The Hog (YC F25) on 06/04/26, six days prior — and his profile carries a boar emoji. Medium-confidence inference."
per_763be7951c28,Inbound,LinkedIn recruiter/person outbound: per_763be7951c28 / Sage,Sage,BDR,2026-06-19,2026-06-19,Ghosted,GHOSTED,UNKNOWN,High,Sage BDR pitch with a direct job-posting link. Not replied to.,
per_bc5fbbaba16d,Outbound,LinkedIn application + follow-up: per_bc5fbbaba16d / TrueBuilt,TrueBuilt,GTM Engineer,2026-06-21,2026-07-16,Ongoing,REJECTED,0,High,You applied (06/21/26 per application log) and dropped a Loom: 'I really just can't think of a better fit role for me.' Followed up 07/07. Jon came back 07/15: they switched from a full-time hire to a one-time setup project + a few support hours/month. You pitched your zero-to-one motion; he asked you to email jon@ and vin@truebuiltsoftware.com — sent same night.,FT role rescoped to contract project. Moved to email 07/15/26.
per_23ae91cab5b7,Outbound,LinkedIn application + follow-up: per_23ae91cab5b7 / Melavex,Melavex,Founding GTM Lead,2026-06-24,2026-06-25,Phone Screen,GHOSTED,UNKNOWN,High,Melavex's founder responded to your application (submitted 06/24/26) same-day: 'I'd love to arrange a quick chat to run through your profile & experience.' You replied 'Today!' — unclear if the call landed.,Fastest application→founder-response turnaround in the export.
per_a29074236ed0,Outbound,Cold outreach I initiated via LinkedIn: per_a29074236ed0 / Gradient Labs,Gradient Labs,GTM Engineer,2026-06-25,2026-06-25,Ghosted,GHOSTED,UNKNOWN,High,"You caught wind of Gradient Labs, dug into the GTM job description, and cold-messaged Mark to connect. No reply.",
per_ce79cc832bea,Inbound,LinkedIn recruiter/person outbound: per_ce79cc832bea / UNKNOWN — Series B warehouse-intelligence startup,UNKNOWN — Series B warehouse-intelligence startup,Revenue Operations Specialist (US remote),2026-06-29,2026-07-08,Ongoing,GHOSTED,UNKNOWN,High,"Agency recruiter running a search for a RevOps specialist at a 'hyper-growth Series B' building a vision-powered warehouse intelligence platform with autonomous drones. You initially read it as spam, then circled back: 'I'm down Michael.' Shared your number; call scheduling in motion at export.",Full GTM tech stack + forecasting ownership.
per_116da8a1a585,Outbound,Cold outreach I initiated via LinkedIn: per_116da8a1a585 / Patch,Patch,Growth Engineering Lead,2026-07-13,2026-07-13,No Opportunity,GHOSTED,UNKNOWN,High,You told Brad (ex-Mixmax) you'd applied to patch.io and were ready to relocate to SF; asked if he knew their head of engineering. He knew Paul Cothenet only weakly ('met him once for coffee'). No intro possible; he offered to keep an eye out for GTM roles.,Referral attempt that hit a weak tie.
per_43e045a39cba,Inbound,LinkedIn recruiter/person outbound: per_43e045a39cba / UNKNOWN — financial team,UNKNOWN — financial team,Unspecified,2026-07-14,2026-07-14,Phone Screen,GHOSTED,UNKNOWN,Medium,Talent scout for a top financial team asked if you keep options open beyond your Founding GTM Engineer work. You said 'Sure always open'; she dropped a Calendly.,Financial-services recruiting pattern.
per_7f9f994fb43d,Inbound,LinkedIn recruiter/person outbound: per_7f9f994fb43d / UNKNOWN — hospice client,UNKNOWN — hospice client,"Hospice Account Executive (West Atlanta, GA)",2026-07-15,2026-07-15,Ghosted,GHOSTED,UNKNOWN,High,Agency pitch for a hospice AE role with a job-description link. Not replied to.,
per_400754f4c012,Inbound,LinkedIn recruiter/person outbound: per_400754f4c012 / Claudomat,Claudomat,GTM Engineer,2026-07-22,2026-07-23,Ghosted,GHOSTED,UNKNOWN,High,"Pitched a GTM Engineer role at Claudomat (AI platform automating engineering/marketing/sales/finance). You replied instantly ('4 sure whats up?'); she sent the JD, platform link, and proposed a Google Meet the next day — you never responded, and her check-in the next day also went unanswered.",You ghosted this one. claudomat.dev.
per_e3d6df446d72,Inbound,LinkedIn recruiter/person outbound: per_e3d6df446d72 / Azul,Azul,"Marketing AI Specialist (100% remote, 4-month contract)",2026-07-28,2026-07-28,Ghosted,GHOSTED,UNKNOWN,High,Contract pitch bridging marketing and AI. Not replied to.,4-month contract.
per_8e49f9ce8090,Inbound,LinkedIn recruiter/person outbound: per_8e49f9ce8090 / UNKNOWN — construction/fabrication SaaS,UNKNOWN — construction/fabrication SaaS,Senior Revenue Operations Engineer,2026-07-28,2026-08-04,Ongoing,GHOSTED,UNKNOWN,High,"Agency pitch for a hands-on, AI-oriented Senior RevOps Engineer to build the revenue function from the ground up (HubSpot admin, routing, scoring, automation, Make/Replit/Claude). You replied 08/04: 'Let's explore... I'm free for today!' Zoom invite logistics underway at export.",Cited your Mixmax experience as the fit hook.
per_fc6fb77178ce,Inbound,LinkedIn recruiter/person outbound: per_fc6fb77178ce / Global Financial Impact,Global Financial Impact,"Business Development Representative (1099, remote)",2026-07-28,2026-07-28,Ghosted,GHOSTED,UNKNOWN,Medium,Financial-services 1099 BDR pitch with 'full training & support.' Not replied to.,1099 independent contractor; insurance-adjacent.
per_c0757b6d3dd8,Inbound,LinkedIn recruiter/person outbound: per_c0757b6d3dd8 / UNKNOWN — Fortune 500 client,UNKNOWN — Fortune 500 client,"Outbound Sales Consultant III (hybrid, Atlanta)",2026-08-13,2026-08-13,Ongoing,SCREENING,UNKNOWN,High,Geneve re-approached with a new hybrid Atlanta role for the same Fortune 500 client and attached the JD. Thread originally started 02/26/2025 (pre-range) with a remote 4-month contract version of the same role — flagged per your date rule. No reply yet to the August touch.,WilsonHCG Avature link shared. Fresh at time of export.
