Platform,Action,Company / Thread,Role,Date,Source Record ID,Matched/Base Key,Final Key,Confidence,Rationale
LinkedIn Threads,ADDED FROM LINKEDIN,per_763be7951c28 / Sage / 2026-06-19,—,—,—,—,Sage + BDR + 2026-06-19,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_bc5fbbaba16d / TrueBuilt / 2026-06-21,—,—,—,—,TrueBuilt + GTM Engineer + 2026-06-21,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_23ae91cab5b7 / Melavex / 2026-06-24,—,—,—,—,Melavex + Founding GTM Lead + 2026-06-24,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_a29074236ed0 / Gradient Labs / 2026-06-25,—,—,—,Gradient Labs + GTM Engineer + 2026-07-21,Gradient Labs + GTM Engineer + 2026-06-25,Medium-High,Same company and GTM job description; later application/rejection evidence names GTM Engineer. Earliest outreach date retained.
LinkedIn Threads,ADDED FROM LINKEDIN,per_ce79cc832bea / UNKNOWN — Series B warehouse-intelligence startup / 2026-06-29,—,—,—,—,UNKNOWN — Series B warehouse-intelligence startup + Revenue Operations Specialist (US remote) + 2026-06-29,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_116da8a1a585 / Patch / 2026-07-13,—,—,—,Patch + Growth Engineering Lead + 2026-07-13,Patch + Growth Engineering Lead + 2026-07-13,High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
LinkedIn Threads,ADDED FROM LINKEDIN,per_43e045a39cba / UNKNOWN — financial team / 2026-07-14,—,—,—,—,UNKNOWN — financial team + Unspecified + 2026-07-14,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_7f9f994fb43d / UNKNOWN — hospice client / 2026-07-15,—,—,—,—,"UNKNOWN — hospice client + Hospice Account Executive (West Atlanta, GA) + 2026-07-15",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_400754f4c012 / Claudomat / 2026-07-22,—,—,—,—,Claudomat + GTM Engineer + 2026-07-22,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_e3d6df446d72 / Azul / 2026-07-28,—,—,—,—,"Azul + Marketing AI Specialist (100% remote, 4-month contract) + 2026-07-28",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_8e49f9ce8090 / UNKNOWN — construction/fabrication SaaS / 2026-07-28,—,—,—,—,UNKNOWN — construction/fabrication SaaS + Senior Revenue Operations Engineer + 2026-07-28,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_fc6fb77178ce / Global Financial Impact / 2026-07-28,—,—,—,—,"Global Financial Impact + Business Development Representative (1099, remote) + 2026-07-28",Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_c0757b6d3dd8 / UNKNOWN — Fortune 500 client / 2026-08-13,—,—,—,—,"UNKNOWN — Fortune 500 client + Outbound Sales Consultant III (hybrid, Atlanta) + 2026-08-13",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED — SOURCE OMISSION CORRECTED,Mixmax,—,—,—,Previously excluded/not tabulated,Mixmax + GTM Engineer (contract) + 2025-08-26,High,"The LinkedIn report mentions Heath/Mixmax only in its narrative patterns, not in the 54-row table. Gmail confirms Heath raised a GTME role on 2025-08-26; one completed hiring conversation occurred 2025-08-14; a service agreement was signed 2025-09-04 and paid contract work followed."
LinkedIn Threads,ADDED — SOURCE OMISSION CORRECTED,UNKNOWN — Vivi Brown San Diego technology startup,—,—,—,Previously excluded/not tabulated,UNKNOWN — Vivi Brown San Diego technology startup + Director of Global Business Development + 2026-05-02,High,"Previously excluded solely because it originated on LinkedIn. Gmail confirms a specific role and company description; the user replied with availability, but no later activity was found."
LinkedIn Applications,MERGED,Verkada,"Enterprise Solutions Engineer, Greater Atlanta Area",2026-02-04,4287210385,"Verkada + Enterprise Solutions Engineer, Greater Atlanta Area + 2026-02-04","Verkada + Enterprise Solutions Engineer, Greater Atlanta Area + 2026-02-04",High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,DevSignal,Growth Specialist,2026-01-26,4355705805,—,DevSignal + Growth Specialist + 2026-01-26,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,JetBridge AI,Sr. SDR for Profitable AI Startup,2025-07-03,4253955472,—,JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-03,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Casper Studios,GTM Engineer,2026-03-23,4381059333,—,Casper Studios + GTM Engineer + 2026-03-23,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Abacus.AI,Senior Sales Development Representative,2025-07-07,4248933333,—,Abacus.AI + Senior Sales Development Representative + 2025-07-07,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,ScoutLab.io,"Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only",2025-06-30,4259485146,—,"ScoutLab.io + Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only + 2025-06-30",High,No supported existing opportunity match.
LinkedIn Applications,MERGED,PandaDoc,GTM Engineer,2026-03-30,4369211319,PandaDoc + GTM Engineer + 2026-03-30,PandaDoc + GTM Engineer + 2026-03-30,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Databar.ai,GTM Engineer (Growth & Sales),2025-06-14,4233227991,—,Databar.ai + GTM Engineer (Growth & Sales) + 2025-06-14,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Gigs,Solutions Engineer,2025-06-30,4256302106,Gigs + UNKNOWN + 2025-06-30,Gigs + Solutions Engineer + 2025-06-30,High,Exact company and date; LinkedIn supplies the previously missing role title.
LinkedIn Applications,ADDED,Databar.ai,GTM Engineer (Growth & Sales),2026-02-10,4361842646,—,Databar.ai + GTM Engineer (Growth & Sales) + 2026-02-10,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Brainfish,Sales Development Representative (SDR) – Dive into AI with Brainfish!,2025-07-07,4258745247,—,Brainfish + Sales Development Representative (SDR) – Dive into AI with Brainfish! + 2025-07-07,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Applause,Enterprise SDR,2025-07-07,4226839920,Applause + Enterprise SDR + 2025-07-08,Applause + Enterprise SDR + 2025-07-07,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,MICHELIN Connected Fleet,Demand Generation and Growth Marketing Manager,2026-02-10,4371060559,—,MICHELIN Connected Fleet + Demand Generation and Growth Marketing Manager + 2026-02-10,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Pegasystems,GTM GenAI Product Owner,2026-02-10,4363036469,—,Pegasystems + GTM GenAI Product Owner + 2026-02-10,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Flexbone,Founding GTM Account Executive,2026-02-08,4365767593,—,Flexbone + Founding GTM Account Executive + 2026-02-08,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Bitovi,AI Enablement Engineer,2025-06-30,4248506953,—,Bitovi + AI Enablement Engineer + 2025-06-30,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,ClosedWon Talent,Founding Account Executive,2025-07-08,4264156893,—,ClosedWon Talent + Founding Account Executive + 2025-07-08,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Insignia Assets,Head of Digital,2025-11-18,4323010631,—,Insignia Assets + Head of Digital + 2025-11-18,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,proteanTecs,Sales Development Representative,2025-08-04,4279583412,proteanTecs + Sales Development Representative + 2025-08-08,proteanTecs + Sales Development Representative + 2025-08-04,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Propel,Founding Sales Engineer,2026-03-05,4377712415,—,Propel + Founding Sales Engineer + 2026-03-05,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Pickering Interfaces,Field Sales Engineer - Southeast,2026-01-20,4350074781,—,Pickering Interfaces + Field Sales Engineer - Southeast + 2026-01-20,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,DISQO,GTM Engineer,2026-03-27,4385292987,DISQO + GTM Engineer + 2026-03-31,DISQO + GTM Engineer + 2026-03-27,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Datricks,Sales Engineer - US (Remote),2025-06-20,4251747717,—,Datricks + Sales Engineer - US (Remote) + 2025-06-20,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,JetBridge AI,Sr. SDR for Profitable AI Startup,2025-07-07,4263460747,—,JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-07,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,SWARM,Sales Engineer,2025-07-09,4262182906,—,SWARM + Sales Engineer + 2025-07-09,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Scout Global,Founding Sales Engineer,2026-03-05,4373132807,—,Scout Global + Founding Sales Engineer + 2026-03-05,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Logicbroker,AI GTM Engineer,2026-07-12,4433617553,—,Logicbroker + AI GTM Engineer + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Auctane,Pre-Sales Engineer - Atlanta,2026-04-10,4362136934,Auctane + Pre-Sales Engineer - Atlanta + 2026-04-10,Auctane + Pre-Sales Engineer - Atlanta + 2026-04-10,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Recur Software,GTM Engineer,2026-04-06,4383852596,—,Recur Software + GTM Engineer + 2026-04-06,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,talentpluto,Go-to-Market Engineer,2026-07-12,4438813846,talentpluto + Go-to-Market Engineer + 2026-07-12,talentpluto + Go-to-Market Engineer + 2026-07-12,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Hartfiel Automation,Sales Engineer,2026-06-22,4429539770,—,Hartfiel Automation + Sales Engineer + 2026-06-22,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Jobright.ai,AI Engineer,2026-06-04,4424269580,—,Jobright.ai + AI Engineer + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Adaptive6,Sales Engineer,2026-06-04,4391888373,Adaptive6 + Sales Engineer + 2026-06-04,Adaptive6 + Sales Engineer + 2026-06-04,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,SOLAYA,GTM Engineer,2026-06-07,4420626352,—,SOLAYA + GTM Engineer + 2026-06-07,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Uncapped,GTM Engineer,2026-08-22,4453144912,Uncapped + GTM Engineer + 2026-08-22,Uncapped + GTM Engineer + 2026-08-22,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,The Vincit Group,Systems Engineering and Sales,2026-06-21,4420136034,—,The Vincit Group + Systems Engineering and Sales + 2026-06-21,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Melavex,Founding GTM Lead,2026-06-24,4427560845,Melavex + Founding GTM Lead + 2026-06-24,Melavex + Founding GTM Lead + 2026-06-24,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,MERGED,Attentive,GTM Engineer,2026-06-22,4389964157,Attentive + GTM Engineer + 2026-06-22,Attentive + GTM Engineer + 2026-06-22,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Inworld AI,GTM Lead,2026-07-06,4360055693,—,Inworld AI + GTM Lead + 2026-07-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,AppGate,GTM Engineer,2026-04-06,4393579449,—,AppGate + GTM Engineer + 2026-04-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Entelligence.AI,Founding GTM,2026-07-12,4429363758,—,Entelligence.AI + Founding GTM + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-06-21,4418281073,—,Durham Geo Slope Indicator (DGSI) + Technical Sales Engineer + 2026-06-21,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Huzzle.com,GTM Engineer,2026-06-04,4422680810,—,Huzzle.com + GTM Engineer + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Scout Global,Forward Deployed Engineer,2026-06-04,4415272670,—,Scout Global + Forward Deployed Engineer + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Fractional Demand,GTM Engineer,2026-03-31,4392111555,—,Fractional Demand + GTM Engineer + 2026-03-31,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,RTScale AI,Founding Growth Lead,2026-06-17,4429730979,—,RTScale AI + Founding Growth Lead + 2026-06-17,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,HartleyCo,GTM Engineer,2026-07-12,4433942058,—,HartleyCo + GTM Engineer + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,SoTalent,Generative AI Agent Engineer (Remote),2026-05-26,4415219033,—,SoTalent + Generative AI Agent Engineer (Remote) + 2026-05-26,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,MAJC✨,Revenue Operations & Business Development,2026-06-04,4422637582,—,MAJC✨ + Revenue Operations & Business Development + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Taste Labs,Growth Lead,2026-07-12,4428044935,—,Taste Labs + Growth Lead + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Lyra Health,Senior GTM Enablement Specialist,2026-06-04,4422091179,—,Lyra Health + Senior GTM Enablement Specialist + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Kana,GTM Engineer,2026-07-12,4427085765,—,Kana + GTM Engineer + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,RevPilots,GTM Engineer,2026-04-09,4399435968,—,RevPilots + GTM Engineer + 2026-04-09,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Jobgether,GTM Engineer,2026-06-22,4427466730,Jobgether + GTM Engineer + 2026-06-22,Jobgether + GTM Engineer + 2026-06-22,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Bask Health,Sales Engineer,2026-04-06,4389308174,—,Bask Health + Sales Engineer + 2026-04-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Robert Half,Go-To-Market Lead,2026-06-24,4426606510,—,Robert Half + Go-To-Market Lead + 2026-06-24,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Coverwatch,Founding GTM,2026-07-12,4425678611,—,Coverwatch + Founding GTM + 2026-07-12,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Duckbill,Founding Sales / GTM,2026-07-07,4436847982,—,Duckbill + Founding Sales / GTM + 2026-07-07,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Ritz Instrument Transformers USA,Sales Engineer,2026-06-22,4404203312,—,Ritz Instrument Transformers USA + Sales Engineer + 2026-06-22,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Armada,"AI Factory, Value Engineer",2026-06-22,4420247062,"Armada + AI Factory, Value Engineer + 2026-06-22","Armada + AI Factory, Value Engineer + 2026-06-22",High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,MERGED,talentpluto,GTM Engineer,2026-07-12,4434255520,talentpluto + GTM Engineer + 2026-07-12,talentpluto + GTM Engineer + 2026-07-12,High,"Exact company, exported title, and date match to the separate ATS-confirmed talentpluto application."
LinkedIn Applications,ADDED,GridBank,GTM Engineer,2026-06-04,4404318566,—,GridBank + GTM Engineer + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,AICRO,GTM Engineer,2026-05-25,4419107568,AICRO + GTM Engineer + 2026-05-25,AICRO + GTM Engineer + 2026-05-25,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,The Hog (YC F25),Founding GTM Engineer,2026-06-04,4421369110,—,The Hog (YC F25) + Founding GTM Engineer + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,TechLinkSphere,Micro-SaaS Launch & Growth Engineer,2026-07-06,4436063352,—,TechLinkSphere + Micro-SaaS Launch & Growth Engineer + 2026-07-06,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Freshtix,Business Development Manager,2026-05-19,4416695523,—,Freshtix + Business Development Manager + 2026-05-19,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,DripShop,Growth Lead - User Acquisition,2026-06-21,4430091744,—,DripShop + Growth Lead - User Acquisition + 2026-06-21,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,2026-04-19,4389562890,—,Durham Geo Slope Indicator (DGSI) + Technical Sales Engineer + 2026-04-19,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,TrueBuilt,GTM Engineer,2026-06-21,4428082624,TrueBuilt + GTM Engineer + 2026-06-21,TrueBuilt + GTM Engineer + 2026-06-21,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Verdent AI,Growth Marketing,2026-04-10,4399890339,—,Verdent AI + Growth Marketing + 2026-04-10,High,No supported existing opportunity match.
LinkedIn Applications,MERGED,Wall Street Quants,Marketing / GTM Engineer,2026-04-16,4402656770,WallStreetQuants + Marketing / GTM Engineer + 2026-04-17,WallStreetQuants + Marketing / GTM Engineer + 2026-04-16,High,HIGH company/role/date match to existing ledger row.
LinkedIn Applications,ADDED,Piper AI,Growth & Content,2026-05-26,4419427998,—,Piper AI + Growth & Content + 2026-05-26,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,IntelliPro,Founding Sales - AI Generic,2026-06-04,4412148637,—,IntelliPro + Founding Sales - AI Generic + 2026-06-04,High,No supported existing opportunity match.
LinkedIn Applications,ADDED,Sidepocket,Go-To-Market Growth Engineer,2026-07-12,4434887595,—,Sidepocket + Go-To-Market Growth Engineer + 2026-07-12,High,No supported existing opportunity match.
