coder_id,candidate_id,date,company,role,exclusion_reason,what_would_promote_it,evidence_system,evidence_id
alpha,new-relic|unspecified|excl,2026-03-28,New Relic,unspecified,unresolvable_identity,A dated thank-you-for-applying receipt. Retention-consent mail only.,gmail,19d35a3c32b6d6a4
alpha,celonis|unspecified|excl,2026-04-02,Celonis,unspecified,unresolvable_identity,A dated thank-you-for-applying receipt. Application-data notification only.,gmail,19d4f2cd06b07502
alpha,saveurdays|unspecified|excl,2026-04-11,,unspecified,unresolvable_identity,A thank-you-for-applying that names company and role. meghan.simonis@saveurdays.com names neither.,gmail,19d7da158589ce88
alpha,crossing-hurdles|head-of-commercial|excl,2026-04-01,Crossing Hurdles,Head of Commercial,recruiter_initiated,A submission receipt. Ceipal notice for Montauk Capital via Crossing Hurdles.,gmail,19d48a4c443ee08c
alpha,kivira|unspecified|excl,2026-04-06,kivira.health,unspecified,consulting_prospect,A titled employment submission. Calendar JP/KM kivira.health connect with joshpap22.,gcal,5a784jadrogo9aind47jdj6lmg
alpha,gtm-engineering-io|gtme|excl,2026-04-29,gtm-engineering.io,GTME,consulting_prospect,A titled employment submission or employer interview loop. Artifact is 30 Minute Meeting [GTME] with Jorge Macias.,gcal,14rkurrlp8aemiaaskduc7hphc
alpha,pappas-consulting|unspecified|excl,2026-06-04,Pappas Healthtech,unspecified,consulting_prospect,A titled W2/employment submission. Josh Pappas consulting-scope thread.,gmail,19e9436ce4e43ad8
alpha,gwinnett-county-public-schools|unspecified|excl,2026-06-08,Gwinnett County Public Schools,unspecified,attempted_not_submitted,An AppliTrack submission-confirmed message. Corpus has started 19ea5b7862cb3792 and expiry warning 19f2c8bf68806916.,gmail,19ea5b7862cb3792
alpha,dekalb-county-school-district|general-application|excl,2026-06-27,DeKalb County School District,unspecified,attempted_not_submitted,An AppliTrack submission-confirmed message for the general application. Distinct from the filled STAR Substitute position notices.,gmail,19f08288af47b3df
alpha,switchyards|digital-product-builder|excl,2026-04-25,Switchyards,Digital Product Builder,unresolvable_identity,A submission receipt for Digital Product Builder. Artifact is a thank-you/decline only.,gmail,19dc62db344bac51
alpha,unnamed-greenhouse|gtm-engineer|excl,2026-07-12,,GTM Engineer,unresolvable_identity,A Greenhouse thank-you that names the employer. Subject omits employer.,gmail,19f586b7fbc50265
alpha,jobmail|growth-lead|excl,2026-07-07,,Growth Lead,unresolvable_identity,A receipt naming the employer. interviews@jobmail.io stealth company; later decline through Jack 19f5b79c8f0892a7.,gmail,19f3ec27ee050c8d
alpha,dexian|outbound-sales-consultant-iii|excl,2026-06-05,Dexian,Outbound Sales Consultant III (Remote),recruiter_initiated,A submission receipt. Distinct intermediary from WilsonHCG February application of the same title.,gmail,19e9805d2feb7656
alpha,luzmo|sdr|excl,2026-06-30,Luzmo,SDR,recruiter_initiated,"A submission receipt. Jobright recruiter sequence only, 19f18abcd6c662a8.",gmail,19f18abcd6c662a8
alpha,linkedin-inmail|unspecified|excl,2026-06-09,,unspecified,unresolvable_identity,InMail that names the employer plus a matching submission receipt. Recruiter references a LinkedIn application; employer not in the log row.,gmail,19eac30589bfe8b9
alpha,common-room|unspecified|excl,2026-05-28,Common Room,unspecified,unresolvable_identity,An artifact stating the meeting is an employment interview or a submission receipt.,gmail,19e702c268104fe7
alpha,the-hog|product-welcome|excl,2026-06-16,The Hog,unspecified,unresolvable_identity,"Nothing for the employment census. Product signup welcome, distinct from hudson@thehog.ai GTM Interview.",gmail,19ed298800137744
alpha,weave|unspecified-2026-interview|excl,2026-08-18,Weave,unspecified,unresolvable_identity,A 2026 submission receipt for the interviewed role. 2025-07 BDM cycle already closed; this is post-interview decline only.,gmail,1a015b9c5373e9bf
alpha,frontline-stellar-substitute|unspecified|excl,2026-07-28,,Stellar Substitute,unresolvable_identity,A filled-notice that names the school district. Frontline sender mail11.frontlineed.com does not name the employer in the log row.,gmail,19fa91f897b687a8
alpha,ziprecruiter|account|excl,2026-07-21,ZipRecruiter,unspecified,marketplace_profile,A titled ZipRecruiter application-complete notice for a named employer (Revic already coded).,gmail,19f8353985778abd
alpha,jobright|account-turbo|excl,2025-11-18,Jobright,unspecified,marketplace_profile,"A Jobright application-submitted receipt. Business mailbox has Welcome to Turbo addressed Hi Logan, plus alerts.",gmail,19a97d3a310e16f1
alpha,alibaba|pay-later|excl,2026-06-21,Alibaba.com,unspecified,unresolvable_identity,Nothing for the employment census. Pay Later for Business credit product.,gmail,19ee9f880d3fe262
alpha,kimi|code-beta|excl,2026-06-20,Kimi,unspecified,unresolvable_identity,Nothing for the employment census. Product beta application.,gmail,19ee44d95cf17f20
alpha,wellsfargo|clear-access-banking|excl,2026-03-06,Wells Fargo,Clear Access Banking,unresolvable_identity,Nothing for the employment census. Banking-product application.,gmail,19cc4a62e5143fd6
alpha,inboxkit|demo|excl,2026-04-17,Inboxkit,unspecified,consulting_prospect,An employment submission. Calendar/email are a product demo.,gmail,19d9d1f888675eba
alpha,tracxn|demo|excl,2026-04-08,Tracxn,unspecified,consulting_prospect,An employment submission. Calendar is a vendor demo.,gcal,3cgc9i5u6h5pe9kdd1939j83gl
alpha,rocketeer|onboarding|excl,2026-04-07,Rocketeer,unspecified,consulting_prospect,An employment submission. Calendar is an onboarding call.,gcal,_chn54lrp98p6uta7cor62rjqah432krfe5940gr1dgn66rrd
alpha,zentrik|intro|excl,2025-12-08,Zentrik,unspecified,consulting_prospect,An employment submission. Calendar Intro to Zentrik | From web form.,gcal,3d169net06fjno70h5ppqo87im
alpha,stainless|sam-gardner|excl,2025-12-09,Stainless,unspecified,consulting_prospect,An employment submission or named interview loop.,gcal,cg0fquttv11rbs75ppcbbkirgo
alpha,sideguide|erin-xue|excl,2026-01-28,Sideguide,unspecified,consulting_prospect,An employment submission. Calendly reminder is Firecrawl product feedback.,gcal,k9tp11f498dg5ab1gmj4ch9vks
alpha,exa-product-outreach|unspecified|excl,2025-06-12,Exa,unspecified,consulting_prospect,The Growth Lead Lever receipt (already coded) is the employment row. This June thread is product outreach after API signup.,gmail,19765c64cf83eead
alpha,breakthrough-z|clarity-call|excl,2025-07-08,Breakthrough Z,unspecified,consulting_prospect,An employment submission. Artifact is a coaching Clarity Call.,gmail,197e7fc9a0915aea
alpha,coldiq|accelerator|excl,2025-06-11,ColdIQ,unspecified,consulting_prospect,An employment submission. Incomplete accelerator-program pitch.,gmail,1975ccc76268e020
alpha,herbert-polcychemex|new-submission|excl,2025-08-11,polcychemex,unspecified,unresolvable_identity,An employer-domain ATS receipt. Sender looks unrelated to a named employer.,gmail,198980bff365e200
