coder_id,candidate_id,date,company,role,exclusion_reason,what_would_promote_it,evidence_system,evidence_id
bravo,gtm-engineering-io-jorge-macias,2026-04-29,gtm-engineering.io,GTME,unresolvable_identity,A submission_receipt or employer message that the 30 Minute Meeting [GTME] was a job interview for a named req. Calendar 14rkurrlp8aemiaaskduc7hphc and Gmail 19dda37fe15cd327 / 19dda38054fed93b exist; no parent application.,gmail,19dda37fe15cd327
bravo,glytec-interview-logistics,2026-01-27,Glytec,unspecified,unresolvable_identity,"A submission_receipt. Corpus has interview logistics and a portfolio link sent, not an application receipt.",gmail,19bfd208da5a44b6
bravo,switchyards-digital-product-builder,2026-04-25,Switchyards,Digital Product Builder,unresolvable_identity,A submission_receipt. Artifact is Re: Digital Product Builder Thank You declined. Distinct from Launch Manager 2025-08.,gmail,19dc62db344bac51
bravo,weave-2026-interview-decline,2026-08-18,Weave,unspecified,unresolvable_identity,A 2026 submission_receipt after the 2025-07-31 BDM terminal. 1a015b9c5373e9bf thanks for meeting and interview declined; no parent 2026 receipt.,gmail,1a015b9c5373e9bf
bravo,josh-pappas-consulting-clinics,2026-06-04,Pappas Healthtech,unspecified,consulting_prospect,A W2/employment submission_receipt. Artifact is consulting scope outbound for independent clinics.,gmail,19e9436ce4e43ad8
bravo,kivira-health-josh-pappas,2026-04-06,kivira.health,unspecified,consulting_prospect,A job submission_receipt. Calendar JP/KM kivira.health connect is a consulting counterpart meeting.,gcal,5a784jadrogo9aind47jdj6lmg
bravo,micro1-finance-expert-outreach,2026-01-21,micro1,Finance Expert,recruiter_initiated,A titled submission_receipt or client-named project assignment. chirag@micro1.io opportunity from talent pool.,gmail,19bdf90e1b30ffa0
bravo,micro1-certified-expert-pool,2025-09-30,micro1,unspecified,marketplace_profile,A titled role submission to a named client. ana@micro1.io join the community for certified talent.,gmail,1999b3f069431cb5
bravo,micro1-chatgpt-training-june,2026-06-05,micro1,"Certified Expert Pool, ChatGPT AI training project",recruiter_initiated,A submission_receipt for a named client req. ariana@micro1.io New Opportunity.,gmail,19e9866ed62fb9b9
bravo,wellfound-saved-podium-sdr,2025-06-04,Podium,SDR,attempted_not_submitted,A Wellfound successfully-submitted receipt. Corpus only names Podium SDR on a saved-jobs expiry reminder.,gmail,1973b7795bb1ae0e
bravo,wellfound-saved-nomi-growth-hacker,2025-07-16,Nomi.ai,Growth Hacker,attempted_not_submitted,A Wellfound successfully-submitted receipt. Corpus only names Nomi.ai Growth Hacker on a saved-jobs reminder.,gmail,19813c2cd09f20e5
bravo,ziprecruiter-account,2026-07-21,ZipRecruiter,unspecified,marketplace_profile,A titled application-complete message for a named employer (Revic is coded separately).,gmail,19f8353985778abd
bravo,jobright-lecturesfrom-signup,2025-11-18,Jobright,unspecified,marketplace_profile,A Jobright application-submitted or applied-list row. 33@lecturesfrom.com has Welcome to Jobright/Turbo and job alerts only.,gmail,19a97ca14eff4594
bravo,mercor-signup-no-project,2026-06-30,Mercor,unspecified,marketplace_profile,Not used as a census row. Message says signed up but haven't applied to a project yet; conflicts with 2026-06-22 Application Submitted receipts which are coded as applications.,gmail,19f19831aba29e2e
bravo,exa-product-outreach,2025-06-12,Exa,unspecified,consulting_prospect,Not employment. Product outreach after API signup call arranged. Distinct from Exa Labs Growth Lead application 2025-07-25.,gmail,19765c64cf83eead
bravo,breakthrough-z-clarity-call,2025-07-08,Breakthrough Z,unspecified,consulting_prospect,Not an employment application. Coaching/clarity call invitation later canceled.,gmail,197e7fc9a0915aea
bravo,coldiq-accelerator-incomplete,2025-06-11,ColdIQ,Accelerator Program,attempted_not_submitted,A completed employment application. Artifact is ColdIQ Accelerator Program incomplete.,gmail,1975ccc76268e020
